"Plot Title: Site 3"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 20468803, SEN S/N: 20462385)","Water Content, m³/m³ (LGR S/N: 20468803, SEN S/N: 20471697)"
1,05/29/19 02:51:17 PM,93.706,-0.2419
2,05/29/19 03:51:17 PM,60.046,0.2592
3,05/29/19 04:51:17 PM,60.003,0.2600
4,05/29/19 05:51:17 PM,60.174,0.2607
5,05/29/19 06:51:17 PM,60.132,0.2607
6,05/29/19 07:51:17 PM,59.788,0.2607
7,05/29/19 08:51:17 PM,59.358,0.2611
8,05/29/19 09:51:17 PM,58.842,0.2607
9,05/29/19 10:51:17 PM,58.325,0.2604
10,05/29/19 11:51:17 PM,57.893,0.2604
11,05/30/19 12:51:17 AM,57.506,0.2604
12,05/30/19 01:51:17 AM,57.117,0.2600
13,05/30/19 02:51:17 AM,56.772,0.2600
14,05/30/19 03:51:17 AM,56.426,0.2600
15,05/30/19 04:51:17 AM,56.122,0.2600
16,05/30/19 05:51:17 AM,55.819,0.2600
17,05/30/19 06:51:17 AM,55.515,0.2604
18,05/30/19 07:51:17 AM,55.342,0.2600
19,05/30/19 08:51:17 AM,55.386,0.2596
20,05/30/19 09:51:17 AM,55.647,0.2596
21,05/30/19 10:51:17 AM,56.122,0.2592
22,05/30/19 11:51:17 AM,56.944,0.2585
23,05/30/19 12:51:17 PM,57.807,0.2589
24,05/30/19 01:51:17 PM,58.669,0.2596
25,05/30/19 02:51:17 PM,59.616,0.2596
26,05/30/19 03:51:17 PM,59.873,0.2600
27,05/30/19 04:51:17 PM,59.873,0.2596
28,05/30/19 05:51:17 PM,59.959,0.2592
29,05/30/19 06:51:17 PM,59.873,0.2589
30,05/30/19 07:51:17 PM,59.529,0.2589
31,05/30/19 08:51:17 PM,59.099,0.2585
32,05/30/19 09:51:17 PM,58.498,0.2585
33,05/30/19 10:51:17 PM,57.979,0.2585
34,05/30/19 11:51:17 PM,57.506,0.2585
35,05/31/19 12:51:17 AM,57.031,0.2582
36,05/31/19 01:51:17 AM,56.512,0.2589
37,05/31/19 02:51:17 AM,56.079,0.2589
38,05/31/19 03:51:17 AM,55.647,0.2592
39,05/31/19 04:51:17 AM,55.256,0.2592
40,05/31/19 05:51:17 AM,54.952,0.2596
41,05/31/19 06:51:17 AM,54.604,0.2596
42,05/31/19 07:51:17 AM,54.387,0.2596
43,05/31/19 08:51:17 AM,54.473,0.2592
44,05/31/19 09:51:17 AM,54.820,0.2592
45,05/31/19 10:51:17 AM,55.602,0.2589
46,05/31/19 11:51:17 AM,56.901,0.2585
47,05/31/19 12:51:17 PM,57.807,0.2582
48,05/31/19 01:51:17 PM,58.755,0.2575
49,05/31/19 02:51:17 PM,59.529,0.2567
50,05/31/19 03:51:17 PM,60.174,0.2571
51,05/31/19 04:51:17 PM,60.775,0.2564
52,05/31/19 05:51:17 PM,61.333,0.2567
53,05/31/19 06:51:17 PM,61.506,0.2564
54,05/31/19 07:51:17 PM,61.333,0.2560
55,05/31/19 08:51:17 PM,60.861,0.2560
56,05/31/19 09:51:17 PM,60.474,0.2770
57,05/31/19 10:51:17 PM,60.003,0.2736
58,05/31/19 11:51:17 PM,59.659,0.2708
59,06/01/19 12:51:17 AM,59.358,0.2694
60,06/01/19 01:51:17 AM,58.798,0.2684
61,06/01/19 02:51:17 AM,58.282,0.2673
62,06/01/19 03:51:17 AM,57.893,0.2664
63,06/01/19 04:51:17 AM,57.506,0.2657
64,06/01/19 05:51:17 AM,56.815,0.2712
65,06/01/19 06:51:17 AM,56.340,0.2708
66,06/01/19 07:51:17 AM,56.035,0.2701
67,06/01/19 08:51:17 AM,55.863,0.2715
68,06/01/19 09:51:17 AM,55.819,0.2712
69,06/01/19 10:51:17 AM,55.992,0.2705
70,06/01/19 11:51:17 AM,56.340,0.2719
71,06/01/19 12:51:17 PM,55.949,0.2817
72,06/01/19 01:51:17 PM,55.386,0.2844
