"Plot Title: Site 100"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20468807, SEN S/N: 20462383)","Water Content, m³/m³ (LGR S/N: 20468807, SEN S/N: 20488795)"
1,05/31/19 01:30:03 PM,23.280,-0.3038
2,05/31/19 02:30:03 PM,13.064,0.2254
3,05/31/19 03:30:03 PM,13.882,0.2254
4,05/31/19 04:30:03 PM,14.314,0.2254
5,05/31/19 05:30:03 PM,14.385,0.2254
6,05/31/19 06:30:03 PM,14.577,0.2249
7,05/31/19 07:30:03 PM,14.505,0.2249
8,05/31/19 08:30:03 PM,14.337,0.2245
9,05/31/19 09:30:03 PM,14.290,0.2635
10,05/31/19 10:30:03 PM,14.002,0.2729
11,05/31/19 11:30:03 PM,13.858,0.2712
12,06/01/19 12:30:03 AM,13.738,0.2694
13,06/01/19 01:30:03 AM,13.642,0.2673
14,06/01/19 02:30:03 AM,13.546,0.2660
15,06/01/19 03:30:03 AM,13.425,0.2646
16,06/01/19 04:30:03 AM,13.305,0.2639
17,06/01/19 05:30:03 AM,13.161,0.2635
18,06/01/19 06:30:03 AM,13.040,0.2646
19,06/01/19 07:30:03 AM,12.896,0.2632
20,06/01/19 08:30:03 AM,12.847,0.2618
21,06/01/19 09:30:03 AM,12.823,0.2615
22,06/01/19 10:30:03 AM,12.799,0.2607
23,06/01/19 11:30:03 AM,12.968,0.2596
24,06/01/19 12:30:03 PM,13.137,0.2582
25,06/01/19 01:30:03 PM,13.209,0.2579
26,06/01/19 02:30:03 PM,13.209,0.2589
27,06/01/19 03:30:03 PM,13.449,0.2582
28,06/01/19 04:30:03 PM,13.714,0.2571
29,06/01/19 05:30:03 PM,13.810,0.2557
30,06/01/19 06:30:03 PM,13.858,0.2546
31,06/01/19 07:30:03 PM,13.738,0.2542
32,06/01/19 08:30:03 PM,13.449,0.2532
33,06/01/19 09:30:03 PM,13.161,0.2520
34,06/01/19 10:30:03 PM,12.847,0.2512
35,06/01/19 11:30:03 PM,12.534,0.2505
36,06/02/19 12:30:03 AM,12.219,0.2502
37,06/02/19 01:30:03 AM,11.856,0.2494
38,06/02/19 02:30:03 AM,11.540,0.2490
39,06/02/19 03:30:03 AM,11.248,0.2487
40,06/02/19 04:30:03 AM,11.005,0.2490
41,06/02/19 05:30:03 AM,10.834,0.2487
42,06/02/19 06:30:03 AM,10.638,0.2479
43,06/02/19 07:30:03 AM,10.541,0.2475
44,06/02/19 08:30:03 AM,10.565,0.2475
45,06/02/19 09:30:03 AM,10.761,0.2471
46,06/02/19 10:30:03 AM,10.980,0.2468
47,06/02/19 11:30:03 AM,11.224,0.2456
48,06/02/19 12:30:03 PM,11.419,0.2452
