"Plot Title: Site 50"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20468831, SEN S/N: 20462390)","Water Content, m³/m³ (LGR S/N: 20468831, SEN S/N: 20471703)"
1,10/19/19 02:16:05 PM,8.742,0.2756
2,10/19/19 03:16:05 PM,9.238,0.2770
3,10/19/19 04:16:05 PM,9.657,0.2773
4,10/19/19 05:16:05 PM,9.879,0.2766
5,10/19/19 06:16:05 PM,9.977,0.2766
6,10/19/19 07:16:05 PM,9.952,0.2766
7,10/19/19 08:16:05 PM,9.854,0.2770
8,10/19/19 09:16:05 PM,9.780,0.2766
9,10/19/19 10:16:05 PM,9.706,0.2763
10,10/19/19 11:16:05 PM,9.706,0.2763
11,10/20/19 12:16:05 AM,9.706,0.2766
12,10/20/19 01:16:05 AM,9.706,0.2766
13,10/20/19 02:16:05 AM,9.682,0.2763
14,10/20/19 03:16:05 AM,9.657,0.2759
15,10/20/19 04:16:05 AM,9.632,0.2759
16,10/20/19 05:16:05 AM,9.608,0.2763
17,10/20/19 06:16:05 AM,9.608,0.2763
18,10/20/19 07:16:05 AM,9.608,0.2759
19,10/20/19 08:16:05 AM,9.583,0.2759
20,10/20/19 09:16:05 AM,9.608,0.2756
21,10/20/19 10:16:05 AM,9.706,0.2759
22,10/20/19 11:16:05 AM,9.829,0.2759
23,10/20/19 12:16:05 PM,10.001,0.2756
24,10/20/19 01:16:05 PM,10.198,0.2753
25,10/20/19 02:16:05 PM,10.516,0.2749
26,10/20/19 03:16:05 PM,10.810,0.2753
27,10/20/19 04:16:05 PM,11.029,0.2749
28,10/20/19 05:16:05 PM,11.053,0.2753
29,10/20/19 06:16:05 PM,11.005,0.2746
30,10/20/19 07:16:05 PM,10.834,0.2749
31,10/20/19 08:16:05 PM,10.590,0.2749
32,10/20/19 09:16:05 PM,10.320,0.2753
33,10/20/19 10:16:05 PM,10.051,0.2749
34,10/20/19 11:16:05 PM,9.805,0.2753
35,10/21/19 12:16:05 AM,9.682,0.2749
36,10/21/19 01:16:05 AM,9.558,0.2749
37,10/21/19 02:16:05 AM,9.435,0.2753
38,10/21/19 03:16:05 AM,9.336,0.2749
39,10/21/19 04:16:05 AM,9.312,0.2749
40,10/21/19 05:16:05 AM,9.312,0.2746
41,10/21/19 06:16:05 AM,9.386,0.2746
42,10/21/19 07:16:05 AM,9.460,0.2743
43,10/21/19 08:16:05 AM,9.509,0.2746
44,10/21/19 09:16:05 AM,9.558,0.2743
45,10/21/19 10:16:05 AM,9.657,0.2746
46,10/21/19 11:16:05 AM,9.780,0.2743
47,10/21/19 12:16:05 PM,9.879,0.2743
48,10/21/19 01:16:05 PM,10.051,0.2739
49,10/21/19 02:16:05 PM,10.320,0.2736
50,10/21/19 03:16:05 PM,10.516,0.2736
51,10/21/19 04:16:05 PM,10.687,0.2743
52,10/21/19 05:16:05 PM,11.053,0.2928
53,10/21/19 06:16:05 PM,11.297,0.3058
54,10/21/19 07:16:05 PM,11.443,0.3054
55,10/21/19 08:16:05 PM,11.492,0.3029
56,10/21/19 09:16:05 PM,11.492,0.3005
57,10/21/19 10:16:05 PM,11.492,0.2987
58,10/21/19 11:16:05 PM,11.346,0.2970
59,10/22/19 12:16:05 AM,11.151,0.2959
60,10/22/19 01:16:05 AM,10.956,0.2949
61,10/22/19 02:16:05 AM,10.761,0.2942
62,10/22/19 03:16:05 AM,10.614,0.2935
63,10/22/19 04:16:05 AM,10.516,0.2928
64,10/22/19 05:16:05 AM,10.418,0.2919
65,10/22/19 06:16:05 AM,10.320,0.2914
66,10/22/19 07:16:05 AM,10.247,0.2908
67,10/22/19 08:16:05 AM,10.173,0.2908
68,10/22/19 09:16:05 AM,10.075,0.2901
69,10/22/19 10:16:05 AM,10.026,0.2895
70,10/22/19 11:16:05 AM,9.952,0.2901
71,10/22/19 12:16:05 PM,9.928,0.2908
72,10/22/19 01:16:05 PM,10.026,0.2908
73,10/22/19 02:16:05 PM,10.001,0.2901
74,10/22/19 03:16:05 PM,9.928,0.2898
75,10/22/19 04:16:05 PM,9.854,0.2895
76,10/22/19 05:16:05 PM,9.780,0.2895
77,10/22/19 06:16:05 PM,9.682,0.2890
78,10/22/19 07:16:05 PM,9.583,0.2887
79,10/22/19 08:16:05 PM,9.485,0.2884
80,10/22/19 09:16:05 PM,9.386,0.2887
81,10/22/19 10:16:05 PM,9.188,0.2973
82,10/22/19 11:16:05 PM,9.040,0.3001
83,10/23/19 12:16:05 AM,8.941,0.3022
84,10/23/19 01:16:05 AM,8.841,0.3015
85,10/23/19 02:16:05 AM,8.792,0.2997
86,10/23/19 03:16:05 AM,8.742,0.2984
87,10/23/19 04:16:05 AM,8.693,0.2973
88,10/23/19 05:16:05 AM,8.643,0.2963
89,10/23/19 06:16:05 AM,8.618,0.2952
90,10/23/19 07:16:05 AM,8.593,0.2942
91,10/23/19 08:16:05 AM,8.519,0.2935
92,10/23/19 09:16:05 AM,8.494,0.2932
93,10/23/19 10:16:05 AM,8.469,0.2928
94,10/23/19 11:16:05 AM,8.519,0.2922
95,10/23/19 12:16:05 PM,8.618,0.2919
96,10/23/19 01:16:05 PM,8.693,0.2914
97,10/23/19 02:16:05 PM,8.792,0.2908
98,10/23/19 03:16:05 PM,8.965,0.2904
99,10/23/19 04:16:05 PM,9.064,0.2901
100,10/23/19 05:16:05 PM,9.163,0.2898
101,10/23/19 06:16:05 PM,9.163,0.2895
102,10/23/19 07:16:05 PM,9.064,0.2890
103,10/23/19 08:16:05 PM,8.841,0.2887
104,10/23/19 09:16:05 PM,8.668,0.2884
105,10/23/19 10:16:05 PM,8.568,0.2881
106,10/23/19 11:16:05 PM,8.519,0.2881
107,10/24/19 12:16:05 AM,8.419,0.2919
108,10/24/19 01:16:05 AM,8.369,0.2935
109,10/24/19 02:16:05 AM,8.319,0.2952
110,10/24/19 03:16:05 AM,8.270,0.2952
111,10/24/19 04:16:05 AM,8.245,0.2942
112,10/24/19 05:16:05 AM,8.220,0.2938
