"Plot Title: Site 9"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20468809, SEN S/N: 20462392)","Water Content, m³/m³ (LGR S/N: 20468809, SEN S/N: 20471695)"
1,10/19/19 09:52:21 AM,7.444,0.2687
2,10/19/19 10:52:21 AM,7.645,0.2673
3,10/19/19 11:52:21 AM,7.870,0.2666
4,10/19/19 12:52:21 PM,8.195,0.2666
5,10/19/19 01:52:21 PM,8.494,0.2664
6,10/19/19 02:52:21 PM,8.792,0.2657
7,10/19/19 03:52:21 PM,9.114,0.2653
8,10/19/19 04:52:21 PM,9.336,0.2650
9,10/19/19 05:52:21 PM,9.460,0.2650
10,10/19/19 06:52:21 PM,9.509,0.2650
11,10/19/19 07:52:21 PM,9.460,0.2650
12,10/19/19 08:52:21 PM,9.386,0.2646
13,10/19/19 09:52:21 PM,9.336,0.2646
14,10/19/19 10:52:21 PM,9.336,0.2642
15,10/19/19 11:52:21 PM,9.336,0.2642
16,10/20/19 12:52:21 AM,9.336,0.2639
17,10/20/19 01:52:21 AM,9.336,0.2635
18,10/20/19 02:52:21 AM,9.336,0.2635
19,10/20/19 03:52:21 AM,9.336,0.2635
20,10/20/19 04:52:21 AM,9.312,0.2632
21,10/20/19 05:52:21 AM,9.312,0.2632
22,10/20/19 06:52:21 AM,9.312,0.2632
23,10/20/19 07:52:21 AM,9.312,0.2632
24,10/20/19 08:52:21 AM,9.312,0.2628
25,10/20/19 09:52:21 AM,9.361,0.2628
26,10/20/19 10:52:21 AM,9.485,0.2624
27,10/20/19 11:52:21 AM,9.632,0.2621
28,10/20/19 12:52:21 PM,9.805,0.2618
29,10/20/19 01:52:21 PM,9.977,0.2618
30,10/20/19 02:52:21 PM,10.173,0.2618
31,10/20/19 03:52:21 PM,10.394,0.2615
32,10/20/19 04:52:21 PM,10.492,0.2615
33,10/20/19 05:52:21 PM,10.516,0.2611
34,10/20/19 06:52:21 PM,10.443,0.2611
35,10/20/19 07:52:21 PM,10.296,0.2611
36,10/20/19 08:52:21 PM,10.075,0.2611
37,10/20/19 09:52:21 PM,9.829,0.2611
38,10/20/19 10:52:21 PM,9.657,0.2611
39,10/20/19 11:52:21 PM,9.534,0.2611
40,10/21/19 12:52:21 AM,9.435,0.2611
41,10/21/19 01:52:21 AM,9.435,0.2607
42,10/21/19 02:52:21 AM,9.435,0.2607
43,10/21/19 03:52:21 AM,9.410,0.2607
44,10/21/19 04:52:21 AM,9.410,0.2604
45,10/21/19 05:52:21 AM,9.435,0.2604
46,10/21/19 06:52:21 AM,9.485,0.2604
47,10/21/19 07:52:21 AM,9.485,0.2604
48,10/21/19 08:52:21 AM,9.485,0.2600
49,10/21/19 09:52:21 AM,9.534,0.2600
50,10/21/19 10:52:21 AM,9.632,0.2600
51,10/21/19 11:52:21 AM,9.731,0.2596
52,10/21/19 12:52:21 PM,9.854,0.2592
53,10/21/19 01:52:21 PM,10.051,0.2592
54,10/21/19 02:52:21 PM,10.271,0.2585
55,10/21/19 03:52:21 PM,10.443,0.2592
56,10/21/19 04:52:21 PM,10.614,0.2670
57,10/21/19 05:52:21 PM,10.883,0.2911
58,10/21/19 06:52:21 PM,11.005,0.2979
59,10/21/19 07:52:21 PM,11.053,0.2955
60,10/21/19 08:52:21 PM,11.053,0.2938
61,10/21/19 09:52:21 PM,11.029,0.2922
62,10/21/19 10:52:21 PM,10.980,0.2908
63,10/21/19 11:52:21 PM,10.834,0.2898
64,10/22/19 12:52:21 AM,10.663,0.2887
65,10/22/19 01:52:21 AM,10.467,0.2881
66,10/22/19 02:52:21 AM,10.320,0.2874
67,10/22/19 03:52:21 AM,10.198,0.2864
68,10/22/19 04:52:21 AM,10.100,0.2861
69,10/22/19 05:52:21 AM,10.026,0.2850
70,10/22/19 06:52:21 AM,9.952,0.2847
71,10/22/19 07:52:21 AM,9.903,0.2840
72,10/22/19 08:52:21 AM,9.829,0.2840
73,10/22/19 09:52:21 AM,9.756,0.2837
74,10/22/19 10:52:21 AM,9.706,0.2898
75,10/22/19 11:52:21 AM,9.657,0.2925
76,10/22/19 12:52:21 PM,9.706,0.2919
77,10/22/19 01:52:21 PM,9.756,0.2908
78,10/22/19 02:52:21 PM,9.731,0.2901
79,10/22/19 03:52:21 PM,9.682,0.2890
80,10/22/19 04:52:21 PM,9.632,0.2884
81,10/22/19 05:52:21 PM,9.558,0.2890
82,10/22/19 06:52:21 PM,9.485,0.2887
83,10/22/19 07:52:21 PM,9.386,0.2884
84,10/22/19 08:52:21 PM,9.287,0.2895
85,10/22/19 09:52:21 PM,9.064,0.2990
86,10/22/19 10:52:21 PM,8.891,0.3037
87,10/22/19 11:52:21 PM,8.792,0.3037
88,10/23/19 12:52:21 AM,8.742,0.3015
89,10/23/19 01:52:21 AM,8.693,0.2990
90,10/23/19 02:52:21 AM,8.643,0.2970
91,10/23/19 03:52:21 AM,8.593,0.2952
92,10/23/19 04:52:21 AM,8.543,0.2938
93,10/23/19 05:52:21 AM,8.494,0.2925
94,10/23/19 06:52:21 AM,8.469,0.2914
95,10/23/19 07:52:21 AM,8.444,0.2901
96,10/23/19 08:52:21 AM,8.394,0.2890
97,10/23/19 09:52:21 AM,8.344,0.2884
98,10/23/19 10:52:21 AM,8.344,0.2874
99,10/23/19 11:52:21 AM,8.444,0.2868
100,10/23/19 12:52:21 PM,8.519,0.2861
101,10/23/19 01:52:21 PM,8.568,0.2853
102,10/23/19 02:52:21 PM,8.668,0.2847
103,10/23/19 03:52:21 PM,8.792,0.2840
104,10/23/19 04:52:21 PM,8.841,0.2830
105,10/23/19 05:52:21 PM,8.841,0.2827
106,10/23/19 06:52:21 PM,8.767,0.2824
107,10/23/19 07:52:21 PM,8.643,0.2817
108,10/23/19 08:52:21 PM,8.469,0.2813
109,10/23/19 09:52:21 PM,8.394,0.2810
110,10/23/19 10:52:21 PM,8.344,0.2803
111,10/23/19 11:52:21 PM,8.220,0.2871
112,10/24/19 12:52:21 AM,8.195,0.2884
113,10/24/19 01:52:21 AM,8.145,0.2919
114,10/24/19 02:52:21 AM,8.120,0.2919
115,10/24/19 03:52:21 AM,8.095,0.2908
116,10/24/19 04:52:21 AM,8.095,0.2895
117,10/24/19 05:52:21 AM,8.045,0.2884
118,10/24/19 06:52:21 AM,8.045,0.2874
119,10/24/19 07:52:21 AM,7.945,0.2868
120,10/24/19 08:52:21 AM,7.795,0.2861
121,10/24/19 09:52:21 AM,7.695,0.2853
122,10/24/19 10:52:21 AM,7.745,0.2847
123,10/24/19 11:52:21 AM,7.895,0.2840
124,10/24/19 12:52:21 PM,8.070,0.2834
125,10/24/19 01:52:21 PM,8.195,0.2827
126,10/24/19 02:52:21 PM,8.245,0.2821
127,10/24/19 03:52:21 PM,8.394,0.2813
128,10/24/19 04:52:21 PM,8.444,0.2810
129,10/24/19 05:52:21 PM,8.394,0.2806
130,10/24/19 06:52:21 PM,8.295,0.2800
131,10/24/19 07:52:21 PM,8.245,0.2796
132,10/24/19 08:52:21 PM,8.145,0.2793
133,10/24/19 09:52:21 PM,8.095,0.2790
134,10/24/19 10:52:21 PM,7.995,0.2786
135,10/24/19 11:52:21 PM,7.870,0.2783
136,10/25/19 12:52:21 AM,7.720,0.2783
137,10/25/19 01:52:21 AM,7.619,0.2776
138,10/25/19 02:52:21 AM,7.494,0.2773
139,10/25/19 03:52:21 AM,7.368,0.2770
140,10/25/19 04:52:21 AM,7.293,0.2770
141,10/25/19 05:52:21 AM,7.242,0.2766
142,10/25/19 06:52:21 AM,7.192,0.2766
143,10/25/19 07:52:21 AM,7.142,0.2763
144,10/25/19 08:52:21 AM,7.116,0.2759
145,10/25/19 09:52:21 AM,7.091,0.2756
146,10/25/19 10:52:21 AM,7.192,0.2753
147,10/25/19 11:52:21 AM,7.293,0.2749
148,10/25/19 12:52:21 PM,7.368,0.2746
149,10/25/19 01:52:21 PM,7.469,0.2743
150,10/25/19 02:52:21 PM,7.619,0.2739
151,10/25/19 03:52:21 PM,7.695,0.2736
152,10/25/19 04:52:21 PM,7.670,0.2736
153,10/25/19 05:52:21 PM,7.594,0.2736
154,10/25/19 06:52:21 PM,7.494,0.2732
155,10/25/19 07:52:21 PM,7.293,0.2732
156,10/25/19 08:52:21 PM,7.091,0.2729
157,10/25/19 09:52:21 PM,6.864,0.2729
158,10/25/19 10:52:21 PM,6.661,0.2729
159,10/25/19 11:52:21 PM,6.484,0.2729
160,10/26/19 12:52:21 AM,6.357,0.2726
161,10/26/19 01:52:21 AM,6.230,0.2726
162,10/26/19 02:52:21 AM,6.128,0.2722
163,10/26/19 03:52:21 AM,6.051,0.2722
164,10/26/19 04:52:21 AM,5.949,0.2719
165,10/26/19 05:52:21 AM,5.847,0.2719
166,10/26/19 06:52:21 AM,5.770,0.2719
167,10/26/19 07:52:21 AM,5.719,0.2715
168,10/26/19 08:52:21 AM,5.668,0.2712
169,10/26/19 09:52:21 AM,5.693,0.2712
170,10/26/19 10:52:21 AM,5.847,0.2708
171,10/26/19 11:52:21 AM,6.077,0.2705
172,10/26/19 12:52:21 PM,6.331,0.2701
173,10/26/19 01:52:21 PM,6.636,0.2701
174,10/26/19 02:52:21 PM,6.889,0.2694
175,10/26/19 03:52:21 PM,7.066,0.2691
176,10/26/19 04:52:21 PM,7.217,0.2691
177,10/26/19 05:52:21 PM,7.293,0.2691
178,10/26/19 06:52:21 PM,7.293,0.2691
179,10/26/19 07:52:21 PM,7.242,0.2691
180,10/26/19 08:52:21 PM,7.217,0.2687
181,10/26/19 09:52:21 PM,7.192,0.2715
182,10/26/19 10:52:21 PM,7.041,0.2959
183,10/26/19 11:52:21 PM,7.041,0.2970
184,10/27/19 12:52:21 AM,6.965,0.3125
185,10/27/19 01:52:21 AM,7.015,0.3102
186,10/27/19 02:52:21 AM,7.066,0.3113
187,10/27/19 03:52:21 AM,7.116,0.3192
188,10/27/19 04:52:21 AM,7.116,0.3187
189,10/27/19 05:52:21 AM,7.116,0.3156
190,10/27/19 06:52:21 AM,7.167,0.3043
191,10/27/19 07:52:21 AM,7.242,0.2990
192,10/27/19 08:52:21 AM,7.293,0.2955
193,10/27/19 09:52:21 AM,7.444,0.2935
194,10/27/19 10:52:21 AM,7.594,0.2919
195,10/27/19 11:52:21 AM,7.695,0.2901
196,10/27/19 12:52:21 PM,7.845,0.2884
197,10/27/19 01:52:21 PM,8.095,0.2874
198,10/27/19 02:52:21 PM,8.270,0.2861
199,10/27/19 03:52:21 PM,8.344,0.2850
200,10/27/19 04:52:21 PM,8.344,0.2844
201,10/27/19 05:52:21 PM,8.270,0.2837
202,10/27/19 06:52:21 PM,8.145,0.2830
203,10/27/19 07:52:21 PM,7.945,0.2824
204,10/27/19 08:52:21 PM,7.745,0.2821
205,10/27/19 09:52:21 PM,7.569,0.2813
206,10/27/19 10:52:21 PM,7.444,0.2810
207,10/27/19 11:52:21 PM,7.293,0.2806
208,10/28/19 12:52:21 AM,7.167,0.2800
209,10/28/19 01:52:21 AM,7.041,0.2796
210,10/28/19 02:52:21 AM,6.965,0.2796
