STAND	PLOT	REPLIC	VWC	TEMP	DATE	TIME	NOTES
50	55	1	5.1	16.6	2019-08-03	9:05	
50	55	2	4.6	16.5	2019-08-03	9:05	
50	55	3	5.6	16.4	2019-08-03	9:05	
50	55	4	5.1	16.5	2019-08-03	9:05	
50	55	5	5.6	16.5	2019-08-03	9:05	
50	55	6	5.6	16.6	2019-08-03	9:05	
50	56	1	12	16.9	2019-08-03	9:10	
50	56	2	9	16.9	2019-08-03	9:10	
50	56	3	9.5	16.7	2019-08-03	9:10	
50	56	4	5.6	16.4	2019-08-03	9:10	
50	56	5	4.6	16.6	2019-08-03	9:10	
50	56	6	6.1	17	2019-08-03	9:10	
50	57	1	10	16.7	2019-08-03	9:15	
50	57	2	7.1	16.8	2019-08-03	9:15	
50	57	3	5.1	16.7	2019-08-03	9:15	
50	57	4	4.6	16.9	2019-08-03	9:15	
50	57	5	7.6	17.2	2019-08-03	9:15	
50	57	6	8.1	17	2019-08-03	9:15	
50	58	1	7.1	16.8	2019-08-03	9:20	
50	58	2	9	16.7	2019-08-03	9:20	
50	58	3	8.5	16.7	2019-08-03	9:20	
50	58	4	5.1	16.6	2019-08-03	9:20	
50	58	5	7.1	17.1	2019-08-03	9:20	
50	58	6	5.6	17.2	2019-08-03	9:20	
50	59	1	5.6	16.6	2019-08-03	9:25	
50	59	2	4.6	16.9	2019-08-03	9:25	
50	59	3	6.6	16.6	2019-08-03	9:25	
50	59	4	8.5	16.5	2019-08-03	9:25	
50	59	5	8.1	16.8	2019-08-03	9:25	
50	59	6	8.5	16.6	2019-08-03	9:25	
50	60	1	5.6	17.1	2019-08-03	9:30	
50	60	2	6.1	16.9	2019-08-03	9:30	
50	60	3	5.6	17.4	2019-08-03	9:30	
50	60	4	3.6	17	2019-08-03	9:30	
50	60	5	6.6	17	2019-08-03	9:30	
50	60	6	4.6	16.9	2019-08-03	9:30	
3	1	1	7.6	17.1	2019-08-03	10:28	
3	1	2	7.1	17.2	2019-08-03	10:28	
3	1	3	7.6	17.2	2019-08-03	10:28	
3	1	4	5.1	17.2	2019-08-03	10:28	
3	1	5	4.6	17	2019-08-03	10:28	
3	1	6	6.6	17.1	2019-08-03	10:28	
3	2	1	3.6	17.1	2019-08-03	10:33	
3	2	2	5.1	17.4	2019-08-03	10:33	
3	2	3	11	17.5	2019-08-03	10:33	
3	2	4	5.6	17.3	2019-08-03	10:33	
3	2	5	10	17.3	2019-08-03	10:33	
3	2	6	7.6	17.2	2019-08-03	10:33	
3	3	1	7.6	17.1	2019-08-03	10:38	
3	3	2	6.1	17	2019-08-03	10:38	
3	3	3	7.6	17	2019-08-03	10:38	
3	3	4	8.1	17	2019-08-03	10:38	
3	3	5	10.5	17.1	2019-08-03	10:38	
3	3	6	6.1	17.2	2019-08-03	10:38	
3	4	1	4.6	17	2019-08-03	10:43	
3	4	2	7.6	16.9	2019-08-03	10:43	
3	4	3	8.5	16.8	2019-08-03	10:43	
3	4	4	8.1	16.8	2019-08-03	10:43	
3	4	5	7.6	16.9	2019-08-03	10:43	
3	4	6	7.6	17.1	2019-08-03	10:43	
3	5	1	8.1	16.9	2019-08-03	10:48	
3	5	2	7.6	17	2019-08-03	10:48	
3	5	3	5.6	17	2019-08-03	10:48	
3	5	4	8.1	17	2019-08-03	10:48	
3	5	5	6.6	16.8	2019-08-03	10:48	
3	5	6	9.5	16.9	2019-08-03	10:48	
3	6	1	7.1	17.6	2019-08-03	10:53	
3	6	2	6.1	17.2	2019-08-03	10:53	
3	6	3	6.1	17.1	2019-08-03	10:53	
3	6	4	7.6	17.1	2019-08-03	10:53	
3	6	5	8.1	17.5	2019-08-03	10:53	
3	6	6	5.1	17.3	2019-08-03	10:53	
20	25	1	7.6	17.3	2019-08-03	12:07	
20	25	2	6.6	17.4	2019-08-03	12:07	
20	25	3	4.6	17.7	2019-08-03	12:07	
20	25	4	8.5	17.4	2019-08-03	12:07	
20	25	5	6.6	17.4	2019-08-03	12:07	
20	25	6	6.1	17.8	2019-08-03	12:07	
20	26	1	9.5	18.1	2019-08-03	12:10	
20	26	2	6.6	17.8	2019-08-03	12:10	
20	26	3	6.1	17.5	2019-08-03	12:10	
20	26	4	8.1	18.1	2019-08-03	12:10	
20	26	5	6.1	17.8	2019-08-03	12:10	
20	26	6	6.1	17.9	2019-08-03	12:10	
20	27	1	4.6	19.1	2019-08-03	12:14	
20	27	2	6.6	18.6	2019-08-03	12:14	
20	27	3	5.6	18	2019-08-03	12:14	
20	27	4	6.6	18.2	2019-08-03	12:14	
20	27	5	4.1	18.3	2019-08-03	12:14	
20	27	6	4.6	17.9	2019-08-03	12:14	
20	28	1	6.6	18.2	2019-08-03	12:20	Bags exposed; measurement incorrect
20	28	2	4.6	17.7	2019-08-03	12:20	
20	28	3	8.1	17.7	2019-08-03	12:20	
20	28	4	7.1	17.8	2019-08-03	12:20	
20	28	5	6.1	18	2019-08-03	12:20	
20	28	6	5.6	18.4	2019-08-03	12:20	
20	29	1	7.1	18.1	2019-08-03	12:25	
20	29	2	6.1	17.8	2019-08-03	12:25	
20	29	3	6.6	17.9	2019-08-03	12:25	
20	29	4	4.1	17.8	2019-08-03	12:25	
20	29	5	6.1	18.7	2019-08-03	12:25	
20	29	6	4.6	18.6	2019-08-03	12:25	
20	30	1	6.6	18.3	2019-08-03	12:30	
20	30	2	6.6	18	2019-08-03	12:30	
20	30	3	6.6	18.5	2019-08-03	12:30	
20	30	4	6.1	18.3	2019-08-03	12:30	
20	30	5	5.1	18.3	2019-08-03	12:30	
20	30	6	5.1	18.2	2019-08-03	12:30	
31	43	1	11	17.5	2019-08-03	13:47	
31	43	2	6.6	17.4	2019-08-03	13:47	
31	43	3	8.1	17.3	2019-08-03	13:47	
31	43	4	12.5	17.7	2019-08-03	13:47	
31	43	5	9.5	17.7	2019-08-03	13:47	
31	43	6	4.6	18	2019-08-03	13:47	
31	44	1	7.6	17.8	2019-08-03	13:51	
31	44	2	6.6	17.6	2019-08-03	13:51	
31	44	3	7.1	17.9	2019-08-03	13:51	
31	44	4	7.6	17.7	2019-08-03	13:51	
31	44	5	6.1	18	2019-08-03	13:51	
31	44	6	7.6	17.9	2019-08-03	13:51	
31	45	1	6.1	17.5	2019-08-03	13:56	
31	45	2	4.6	18	2019-08-03	13:56	
31	45	3	8.5	17.5	2019-08-03	13:56	
31	45	4	8.1	17.7	2019-08-03	13:56	
31	45	5	6.6	17.8	2019-08-03	13:56	
31	45	6	5.6	17.6	2019-08-03	13:56	
31	46	1	11	17.7	2019-08-03	14:01	
31	46	2	12.5	17.4	2019-08-03	14:01	
31	46	3	7.1	17.7	2019-08-03	14:01	
31	46	4	10.5	17.7	2019-08-03	14:01	
31	46	5	5.6	18.2	2019-08-03	14:01	
