STAND	PLOT	REPLIC	VWC	TEMP	DATE	TIME	NOTES	NOTES.2
31	82	1	15.9	7.5	10/19/19	8:26 AM		
31	82	2	19.3	8.1	10/19/19	8:26 AM		
31	82	3	15.4	7.7	10/19/19	8:26 AM		
31	82	4	24.3	7.7	10/19/19	8:26 AM		
31	82	5	17.9	7.5	10/19/19	8:26 AM		
31	82	6	21.3	7.8	10/19/19	8:26 AM		
31	43	1	22.8	8.6	10/19/19	8:31 AM	7 M	
31	43	2	22.3	8.4	10/19/19	8:31 AM	5 degrees	
31	43	3	19.8	8.6	10/19/19	8:31 AM		
31	43	4	22.8	8.2	10/19/19	8:31 AM		
31	43	5	20.3	7.9	10/19/19	8:31 AM		
31	43	6	18.9	8.9	10/19/19	8:31 AM		
31	44	1	22.3	7.8	10/19/19	8:38 AM	14 M	
31	44	2	21.8	7.8	10/19/19	8:38 AM	55 degrees	
31	44	3	21.3	8	10/19/19	8:38 AM		
31	44	4	16.9	7.9	10/19/19	8:38 AM		
31	44	5	15.4	7.7	10/19/19	8:38 AM		
31	44	6	15.9	8.2	10/19/19	8:38 AM		
31	45	1	19.8	7.9	10/19/19	8:44 AM	7.85 M	
31	45	2	24.3	8	10/19/19	8:44 AM	108 degrees	
31	45	3	18.4	7.9	10/19/19	8:44 AM		
31	45	4	22.3	8	10/19/19	8:44 AM		
31	45	5	23.8	8	10/19/19	8:44 AM		
31	45	6	21.8	7.7	10/19/19	8:44 AM		
31	46	1	28.2	7.9	10/19/19	8:49 AM	11.75 M	
31	46	2	22.8	8.5	10/19/19	8:49 AM	170 degrees	
31	46	3	18.9	8.2	10/19/19	8:49 AM		
31	46	4	19.8	8.4	10/19/19	8:49 AM		
31	46	5	19.3	8.8	10/19/19	8:49 AM		
31	46	6	21.8	8.2	10/19/19	8:49 AM		
31	47	1	21.8	8.2	10/19/19	8:53 AM	11 M	
31	47	2	19.3	8.2	10/19/19	8:53 AM	237 degrees	
31	47	3	19.8	8.2	10/19/19	8:53 AM		
31	47	4	19.8	7.7	10/19/19	8:53 AM		
31	47	5	22.3	8	10/19/19	8:53 AM		
31	47	6	19.8	8.5	10/19/19	8:53 AM		
31	48	1	19.8	8.2	10/19/19	8:57 AM	14 M	
31	48	2	18.7	7.9	10/19/19	8:57 AM	304 degrees	
31	48	3	14.4	7.6	10/19/19	8:57 AM		
31	48	4	15.9	8.1	10/19/19	8:57 AM		
31	48	5	15.9	8	10/19/19	8:57 AM		
31	48	6	13.9	7.7	10/19/19	8:57 AM		
9	78	1	20.8	7.7	10/19/19	9:42 AM		
9	78	2	21.3	7.6	10/19/19	9:42 AM		
9	78	3	16.9	7.4	10/19/19	9:42 AM		
9	78	4	25.2	7.7	10/19/19	9:42 AM		
