STAND	PLOT	REPLIC	VWC	TEMP	DATE	TIME	NOTES
22	80	1	21.8	14.1	2019-09-14	7:50	
22	80	2	20.3	14.3	2019-09-14	7:50	
22	80	3	27.7	13.9	2019-09-14	7:50	
22	80	4	30.1	14	2019-09-14	7:50	
22	80	5	19.8	14.2	2019-09-14	7:50	
22	80	6	28.7	13.9	2019-09-14	7:50	
22	31	1	24.3	14	2019-09-14	7:55	
22	31	2	24.7	14.4	2019-09-14	7:55	
22	31	3	23.8	14.3	2019-09-14	7:55	
22	31	4	24.7	14	2019-09-14	7:55	
22	31	5	20.3	14.1	2019-09-14	7:55	
22	31	6	27.2	14.5	2019-09-14	7:55	
22	32	1	39.5	14.3	2019-09-14	8:00	
22	32	2	31.1	14.1	2019-09-14	8:00	
22	32	3	24.7	14.1	2019-09-14	8:00	
22	32	4	28.2	14	2019-09-14	8:00	
22	32	5	33.6	13.9	2019-09-14	8:00	
22	32	6	32.6	14.3	2019-09-14	8:00	
22	33	1	25.2	14.1	2019-09-14	8:03	
22	33	2	28.4	13.6	2019-09-14	8:03	
22	33	3	22.3	13.9	2019-09-14	8:03	
22	33	4	25.7	13.8	2019-09-14	8:03	
22	33	5	27.7	14.1	2019-09-14	8:03	
22	33	6	28.2	14	2019-09-14	8:03	
22	34	1	22.3	13.6	2019-09-14	8:05	
22	34	2	28.7	13.6	2019-09-14	8:05	
22	34	3	29.2	13.9	2019-09-14	8:05	
22	34	4	31.6	14	2019-09-14	8:05	
22	34	5	23.3	13.6	2019-09-14	8:05	
22	34	6	23.3	13.6	2019-09-14	8:05	
22	35	1	30.1	14.1	2019-09-14	8:08	
22	35	2	30.6	14	2019-09-14	8:08	
22	35	3	29.7	13.6	2019-09-14	8:08	
22	35	4	23.3	13.9	2019-09-14	8:08	
22	35	5	30.1	14.3	2019-09-14	8:08	
22	35	6	30	14	2019-09-14	8:08	
22	36	1	22.8	14	2019-09-14	8:12	
22	36	2	29.2	13.9	2019-09-14	8:12	
22	36	3	31.6	14.1	2019-09-14	8:12	
22	36	4	25.2	14.3	2019-09-14	8:12	
22	36	5	27.7	14	2019-09-14	8:12	
22	36	6	28.7	14	2019-09-14	8:12	
41	83	1	11	13.7	2019-09-14	8:55	
41	83	2	11	13.9	2019-09-14	8:55	
41	83	3	13	13.7	2019-09-14	8:55	
41	83	4	13	13.3	2019-09-14	8:55	
41	83	5	11	13.7	2019-09-14	8:55	
41	83	6	14.9	13.8	2019-09-14	8:55	
41	49	1	15.9	13.6	2019-09-14	8:58	
41	49	2	13.9	14.1	2019-09-14	8:58	
41	49	3	13.9	13.8	2019-09-14	8:58	
41	49	4	11.5	13.7	2019-09-14	8:58	
41	49	5	10	13.9	2019-09-14	8:58	
41	49	6	10.5	13.6	2019-09-14	8:58	
41	50	1	7.1	13.4	2019-09-14	9:01	
41	50	2	10.5	13.9	2019-09-14	9:01	
41	50	3	11	13.6	2019-09-14	9:01	
41	50	4	12.5	13.8	2019-09-14	9:01	
41	50	5	12	14.1	2019-09-14	9:01	
41	50	6	13.9	13.5	2019-09-14	9:01	
41	51	1	9.5	13.8	2019-09-14	9:03	
41	51	2	12	14	2019-09-14	9:03	
41	51	3	7.1	13.7	2019-09-14	9:03	
41	51	4	10.5	13.8	2019-09-14	9:03	
41	51	5	11.5	14.2	2019-09-14	9:03	
41	51	6	10.5	13.7	2019-09-14	9:03	
41	52	1	11.5	13.4	2019-09-14	9:06	
41	52	2	12	13.7	2019-09-14	9:06	
41	52	3	13.9	14	2019-09-14	9:06	
41	52	4	12.5	13.7	2019-09-14	9:06	
41	52	5	10	13.6	2019-09-14	9:06	
41	52	6	9	13.6	2019-09-14	9:06	
41	53	1	18.4	13.7	2019-09-14	9:10	
41	53	2	14.9	13.9	2019-09-14	9:10	
41	53	3	13.5	13.5	2019-09-14	9:10	
