Sample ID,Sample Details,Test,Results,Units,Absorbance,QC Pro result,Operator,Man Dil Factor,Auto Dil Factor,Date and Time
Standard 1,,Nitrate 5 KCl,  0.004,mg N/L,0.003541, ,WA,1,1,2019-07-16 15:17:24
Standard 1,,Ammonia 10 KCl,  0.020,mg N/L,0.019792, ,WA,1,1,2019-07-16 12:01:05
Standard 90,,Nitrate 5 KCl,  0.052,mg N/L,0.051918, ,WA,1,1,2019-07-16 15:19:42
Standard 90,,Ammonia 10 KCl,  0.124,mg N/L,0.124035, ,WA,1,1,2019-07-16 12:03:19
Standard 91,,Nitrate 5 KCl,  0.117,mg N/L,0.116951, ,WA,1,1,2019-07-16 15:22:01
Standard 91,,Ammonia 10 KCl,  0.256,mg N/L,0.256019, ,WA,1,1,2019-07-16 12:05:32
Standard 92,,Nitrate 5 KCl,  0.231,mg N/L,0.230825, ,WA,1,1,2019-07-16 15:24:19
Standard 92,,Ammonia 10 KCl,  0.486,mg N/L,0.485861, ,WA,1,1,2019-07-16 12:07:44
Standard 93,,Nitrate 5 KCl,  0.338,mg N/L,0.337572, ,WA,1,1,2019-07-16 15:26:38
Standard 93,,Ammonia 10 KCl,  0.708,mg N/L,0.707551, ,WA,1,1,2019-07-16 12:09:56
Standard 94,,Nitrate 5 KCl,  0.448,mg N/L,0.447824, ,WA,1,1,2019-07-16 15:28:56
Standard 94,,Ammonia 10 KCl,  0.922,mg N/L,0.921936, ,WA,1,1,2019-07-16 12:12:09
Standard 0,,Nitrate 5 KCl,  0.005,mg N/L,0.005452, ,WA,1,1,2019-07-16 15:31:15
Standard 0,,Ammonia 10 KCl,  0.016,mg N/L,0.016171, ,WA,1,1,2019-07-16 12:14:22
CCV,,Nitrate 5 KCl,  5.175,mg N/L,0.464501,0.00,WA,1,1,2019-07-16 15:33:33
CCB,,Nitrate 5 KCl, -0.035,mg N/L,0.003146,0.00,WA,1,1,2019-07-16 15:35:54
NO2 1 mg L,,Nitrate 5 KCl,  1.207,mg N/L,0.113162, ,WA,1,1,2019-07-16 15:38:14
NO3 1 mg L,,Nitrate 5 KCl,  1.018,mg N/L,0.096413, ,WA,1,1,2019-07-16 15:40:33
CCV,,Ammonia 10 KCl,  9.665,mg N/L,0.898896,0.00,WA,1,1,2019-07-16 12:16:35
CCB,,Ammonia 10 KCl, -0.141,mg N/L,0.012951,0.00,WA,1,1,2019-07-16 12:18:48
KCl analytical,,Nitrate 5 KCl, -0.036,mg N/L,0.003032, ,WA,1,1,2019-07-16 15:42:52
KCl analytical,,Ammonia 10 KCl, -0.092,mg N/L,0.017405, ,WA,1,1,2019-07-16 12:21:01
24.38.pre.a,,Nitrate 5 KCl,  0.821,mg N/L,0.078967, ,WA,1,1,2019-07-16 15:45:11
24.38.pre.a,,Ammonia 10 KCl,  2.450,mg N/L,0.247074, ,WA,1,1,2019-07-16 12:23:14
24.38.post.a,,Nitrate 5 KCl, 12.096,mg N/L,0.361053, ,WA,1.00,3.02,2019-07-16 20:02:28
24.38.post.a,,Ammonia 10 KCl,  0.990,mg N/L,0.115101, ,WA,1,1,2019-07-16 12:25:27
31.44.pre.a,,Nitrate 5 KCl, -0.044,mg N/L,0.002316, ,WA,1,1,2019-07-16 15:49:49
