STAND	PLOT	TYPE	ADD.H2O	INCUB.MASS	INCUB.MASS.TARGET	INCUB.MASS.H2O.ADDED	PRE.INCUB.EXTRACT.MASS
3	1	F	No	30.052			30.168
3	1	W	Yes	30.053	33.2586676	33.269	
3	2	F	No	30.03			30.303
3	2	W	Yes	30.09	34.0325378	34.019	
3	3	F	No	30.038			30.06
3	3	W	Yes	30.023	34.29806751	34.268	
3	4	F	No	30.056			30.084
3	4	W	Yes	30.152	34.58378738	34.672	
3	5	F	No	30.042			30.194
3	5	W	Yes	30.017	33.22205544	33.224	
3	6	F	No	30.233			30.241
3	6	W	Yes	30.091	31.64211558	31.665	
6	7	F	No	30.001			30.296
6	7	W	Yes	30.324	31.83016936	31.83	
6	8	F	No	30.142			30.069
6	8	W	Yes	30.175	32.84266759	32.706	
6	9	F	No	30.037			30.02
6	9	W	Yes	30.087	31.6781688	31.596	
6	10	F	No	30.332			30.022
6	10	W	Yes	30.032	32.61457862	32.598	
6	11	F	No	30.159			30.14
6	11	W	Yes	30.012	32.33124555	32.36	
6	12	F	No	30.013			30.16
6	12	W	Yes	30.026	30.55725855	30.57	
7	13	F	No	30.039			30.136
7	13	W	Yes	30.56	35.19246139	35.178	
7	14	F	No	30.038			30.293
7	14	W	Yes	30.186	34.4048028	34.42	
7	15	F	No	30.093			30.249
7	15	W	Yes	30.001	34.44075516	34.461	
7	16	F	No	30.082			30.398
7	16	W	Yes	30.013	33.97667722	33.857	
7	17	F	No	30.057			30.061
7	17	W	Yes	30.055	33.56772117	33.478	
7	18	F	No	30.029			30.132
7	18	W	Yes	30.058	34.28174857	34.225	
9	19	F	No	30.173			30.341
9	19	W	Yes	30.019	33.3648589	33.51	
9	20	F	No	30.003			30.061
9	20	W	Yes	30.045	30.31531162	30.4	
9	21	F	No	30.105			30.035
9	21	W	Yes	30.062	34.17235387	34.222	
9	22	F	No	30.038			30.014
9	22	W	Yes	30.031	33.74326159	33.719	
9	23	F	No	30.063			30.357
9	23	W	Yes	30.117	33.28414734	33.216	
9	24	F	No	30.156			30.321
9	24	W	Yes	30.1	34.05199633	34.039	
20	25	F	No	30.013			30.01
20	25	W	Yes	30.276	31.30702346	31.324	
20	26	F	No	30.027			30.105
20	26	W	Yes	30.011	33.2709241	33.269	
20	27	F	No	30.028			30.084
20	27	W	Yes	30.175	34.51832544	34.536	
20	28	F	No	30.148			30.09
20	28	W	Yes	30.13	32.88629033	32.866	
20	29	F	No	30.14			30.001
20	29	W	Yes	30.133	32.93603283	33.008	
20	30	F	No	30.023			30.047
20	30	W	Yes	30.067	34.10490002	34.19	
22	31	F	No	30.123			30.111
22	31	W	No				
22	32	F	No	30.12			30.133
22	32	W	No				
22	33	F	No	30.018			30.009
22	33	W	No				
22	34	F	No	30.161			30.192
22	34	W	Yes	30.071	31.50185918	31.521	
22	35	F	No	30.181			30.085
22	35	W	No				
22	36	F	No	30.229			30.393
22	36	W	No				
24	37	F	No	30.006			30.303
24	37	W	Yes	30.074	31.87309967	31.913	
24	38	F	No	30.017			30.217
24	38	W	Yes	30.091	32.11880711	32.338	
24	39	F	No	30.247			30.026
24	39	W	Yes	30.069	32.45755772	32.506	
24	40	F	No	30.078			30.036
24	40	W	Yes	30.003	31.48502268	31.423	
24	41	F	No	30.105			30.268
24	41	W	Yes	30.074	32.05840359	32.045	
24	42	F	No	30.251			30.005
24	42	W	Yes	30.083	32.05125469	32.052	
31	43	F	No	30.097			30.039
31	43	W	Yes	30.107	32.23241973	32.272	
31	44	F	No	30.078			30.086
31	44	W	Yes	30.084	33.63816128	33.677	
31	45	F	No	30.01			30.168
31	45	W	Yes	30.248	33.47575577	33.534	
31	46	F	No	30.1			30.057
31	46	W	Yes	30.005	32.97601407	32.951	
31	47	F	No	30.108			30.001
31	47	W	Yes	30.237	32.53366839	32.59	
31	48	F	No	30.103			30.044
31	48	W	Yes	30.04	33.6756597	33.682	
41	49	F	Yes	30.272	30.4817412	30.52	30.218
41	49	W	Yes	30.216	35.50272259	35.555	
41	50	F	No	30.008			30.218
41	50	W	Yes	30.037	34.98353845	34.967	
41	51	F	Yes	30.158	30.49599266	30.518	30.044
41	51	W	Yes	30.2	35.63470854	35.793	
41	52	F	Yes	30.144	30.597903	30.648	30.032
41	52	W	Yes	30.087	35.63655376	35.521	
41	53	F	No	30.173			30.328
41	53	W	Yes	30.027	35.02499869	35.03	
41	54	F	No	30.018			30.018
41	54	W	Yes	30.125	34.89751504	34.943	
50	55	F	No	30.03			30.087
50	55	W	Yes	30.083	33.89438741	33.905	
50	56	F	No	30.055			29.976
50	56	W	Yes	30.11	32.61692471	32.664	
50	57	F	No	30.151			30.008
50	57	W	Yes	30.008	30.008	30.008	
50	58	F	No	30.003			30.023
50	58	W	Yes	30.024	34.08769181	34.101	
50	59	F	No	30.031			30.089
50	59	W	Yes	30.107	33.67666153	33.626	
