Stand	Plot	Type	Date started	Time started	Date finished	Time finished	Rounded time finished
50	55	F	2019-06-05	10:30	2019-07-02	10:33	10:55
50	55	W	2019-06-05	10:40	2019-07-02	10:38	10:40
50	56	F	2019-06-05	10:50	2019-07-02	10:42	10:40
50	56	W	2019-06-05	11:00	2019-07-02	10:46	10:45
50	57	F	2019-06-05	11:10	2019-07-02	10:50	10:50
50	57	W	2019-06-05	11:15	2019-07-02	10:55	10:55
50	58	F	2019-06-05	11:30	2019-07-02	10:58	11:00
50	58	W	2019-06-05	11:40	2019-07-02	11:03	11:05
50	59	F	2019-06-05	11:50	2019-07-02	11:08	11:10
50	59	W	2019-06-05	11:55	2019-07-02	11:13	11:15
50	60	F	2019-06-05	12:05	2019-07-02	11:16	11:15
50	60	W	2019-06-05	12:10	2019-07-02	11:22	11:20
3	1	F	2019-06-05	13:15	2019-07-02	12:19	12:20
3	1	W	2019-06-05	13:20	2019-07-02	12:26	12:25
3	2	F	2019-06-05	13:30	2019-07-02	12:29	12:30
3	2	W	2019-06-05	13:35	2019-07-02	12:42	12:40
3	3	F	2019-06-05	13:40	2019-07-02	12:47	12:45
3	3	W	2019-06-05	13:45	2019-07-02	12:59	13:00
3	4	F	2019-06-05	13:55	2019-07-02	13:17	13:15
3	4	W	2019-06-05	14:05	2019-07-02	13:29	13:30
3	5	F	2019-06-05	14:10	2019-07-02	13:48	13:50
3	5	W	2019-06-05	14:15	2019-07-02	13:55	13:55
3	6	F	2019-06-05	14:25	2019-07-02	14:04	14:05
3	6	W	2019-06-05	14:30	2019-07-02	14:12	14:10
20	25	F	2019-06-05	15:00	2019-07-02	14:30	14:30
20	25	W	2019-06-05	15:00	2019-07-02	14:39	14:40
20	26	F	2019-06-05	15:15	2019-07-02	14:43	14:45
20	26	W	2019-06-05	15:20	2019-07-02	14:52	14:50
20	27	F	2019-06-05	15:25	2019-07-03	10:20	10:20
20	27	W	2019-06-05	15:30	2019-07-03	10:24	10:25
20	28	F	2019-06-05	15:35	2019-07-03	10:28	10:30
20	28	W	2019-06-05	15:35	2019-07-03	10:31	10:30
20	29	F	2019-06-05	15:45	2019-07-03	10:35	10:35
20	29	W	2019-06-05	15:45	2019-07-03	10:40	10:40
20	30	F	2019-06-05	15:50	2019-07-03	10:44	10:45
20	30	W	2019-06-05	15:55	2019-07-03	10:48	10:50
31	43	F	2019-06-05	16:30	2019-07-03	10:56	10:55
31	43	W	2019-06-05	16:30	2019-07-03	11:00	11:00
31	44	F	2019-06-05	16:35	2019-07-03	11:03	11:05
31	44	W	2019-06-05	16:40	2019-07-03	11:07	11:05
31	45	F	2019-06-05	16:45	2019-07-03	11:10	11:10
31	45	W	2019-06-05	16:50	2019-07-03	11:13	11:15
31	46	F	2019-06-05	16:55	2019-07-03	11:16	11:15
31	46	W	2019-06-05	17:00	2019-07-03	11:20	11:20
31	47	F	2019-06-05	17:00	2019-07-03	11:24	11:25
31	47	W	2019-06-05	17:05	2019-07-03	11:28	11:30
31	48	F	2019-06-05	17:10	2019-07-03	11:31	11:30
31	48	W	2019-06-05	17:15	2019-07-03	11:36	11:35
58	61	F	2019-06-06	9:35	2019-07-03	12:52	12:50
58	61	W	2019-06-06	9:40	2019-07-03	12:55	12:55
58	62	F	2019-06-06	9:45	2019-07-03	13:02	13:00
58	62	W	2019-06-06	9:50	2019-07-03	13:13	13:15
58	63	F	2019-06-06	10:00	2019-07-03	13:17	13:15
58	63	W	2019-06-06	10:00	2019-07-03	13:26	13:25
58	64	F	2019-06-06	10:10	2019-07-03	13:31	13:30
58	64	W	2019-06-06	10:10	2019-07-03	13:38	13:40
58	65	F	2019-06-06	10:20	2019-07-03	13:48	13:50
58	65	W	2019-06-06	10:30	2019-07-03	13:53	13:55
58	66	F	2019-06-06	10:40	2019-07-03	13:56	13:55
58	66	W	2019-06-06	10:45	2019-07-03	14:06	14:05
6	7	F	2019-06-06	11:10	2019-07-03	14:30	14:30
6	7	W	2019-06-06	11:15	2019-07-03	14:45	14:45
6	8	F	2019-06-06	11:25	2019-07-03	14:55	14:55
6	8	W	2019-06-06	11:25	2019-07-03	15:10	15:10
6	9	F	2019-06-06	11:35	2019-07-03	15:13	15:15
6	9	W	2019-06-06	11:40	2019-07-03	15:16	15:15
6	10	F	2019-06-06	11:50	2019-07-03	15:19	15:20
6	10	W	2019-06-06	11:55	2019-07-03	15:23	15:25
6	11	F	2019-06-06	12:05	2019-07-03	15:27	15:25
6	11	W	2019-06-06	12:05	2019-07-03	15:32	15:30
6	12	F	2019-06-06	12:15	2019-07-03	15:35	15:35
6	12	W	2019-06-06	12:15	2019-07-03	15:39	15:40
7	13	F	2019-06-06	12:30	2019-07-03	15:43	15:45
7	13	W	2019-06-06	12:35	2019-07-03	15:48	15:50
