STAND	PLOT	REPLICATE	TIN	FRESH	DRY.TOT
50	55	A	1.097	10.197	9.944
50	55	B	1.493	10.61	10.728
50	56	A	1.203	10.873	10.279
50	56	B	1.213	10.066	9.631
50	57	A	1.046	10.776	9.369
50	57	B	1.18	10.514	9.278
50	58	A	1.206	10.014	9.95
50	58	B	1.213	10.918	10.801
50	59	A	1.202	10.174	9.969
50	59	B	1.11	10.159	9.885
50	60	A	1.563	10.31	10.528
50	60	B	1.093	10.43	10.166
3	1	A	1.142	10.405	10.018
3	1	B	1.172	11.841	11.285
3	2	A	1.161	10.61	10.418
3	2	B	1.173	10.987	10.756
3	3	A	1.156	11.187	11.014
3	3	B	1.173	11.263	11.096
3	4	A	1.148	10.966	10.835
3	4	B	1.153	11.187	11.064
3	5	A	1.173	10.394	10.046
3	5	B	1.307	10.254	10.06
3	6	A	1.19	10.485	9.677
3	6	B	1.147	10.451	9.64
20	25	A	1.159	11.13	10.039
20	25	B	1.235	10.669	9.741
20	26	A	1.165	11.229	10.757
20	26	B	1.247	10.515	10.247
20	28	A	1.145	10.698	10.158
20	28	B	1.17	10.598	10.085
20	27	A	1.205	10.459	10.421
20	27	B	1.223	10.348	10.365
20	29	A	1.184	10.265	9.847
20	29	B	1.184	11.193	10.61
20	30	A	1.11	10.251	10.086
20	30	B	1.196	10.613	10.473
31	43	A	1.146	10.342	9.684
31	43	B	1.178	10.259	9.651
31	44	A	1.16	10.047	9.828
31	44	B	1.17	10.114	9.889
31	45	A	1.178	10.492	10.138
31	45	B	1.185	10.361	10.025
31	46	A	1.109	10.096	9.665
31	46	B	1.155	10.503	10.06
31	47	A	1.381	10.218	9.949
31	47	B	1.463	10.404	10.007
31	48	A	1.164	10.351	10.153
31	48	B	1.199	10.248	10.021
58	61	A	1.178	10.861	10.678
58	61	B	1.171	10.578	10.422
58	62	A	1.368	10.095	10.35
58	62	B	1.278	10.848	10.947
58	63	A	1.076	10.103	10.009
58	63	B	1.071	10.296	10.169
58	64	A	1.157	10.77	10.598
58	64	B	1.119	10.001	9.934
58	65	A	1.19	10.485	10.515
58	65	B	1.175	10.905	10.859
58	66	A	1.337	11.991	12.064
58	66	B	1.187	10.285	10.393
6	7	A	1.166	11.65	10.589
6	7	B	1.255	10.567	9.818
6	8	A	1.021	10.093	9.493
6	8	B	1.078	10.446	9.848
6	9	A	1.111	10.177	9.378
6	9	B	1.114	11.07	10.101
6	10	A	1.169	10.082	9.624
6	10	B	1.269	10.698	10.219
6	11	A	1.104	10.668	9.976
6	11	B	1.147	10.32	9.714
6	12	A	1.065	10.068	8.963
6	12	B	1.288	10.564	9.585
7	13	A	1.14	10.254	10.248
7	13	B	1.358	10.811	10.96
7	14	A	1.13	10.57	10.425
7	14	B	1.086	10.288	10.127
7	15	A	1.006	10.666	10.451
7	15	B	1.15	10.404	10.361
7	16	A	0.988	10.023	9.731
7	16	B	1.104	10.278	10.087
7	17	A	1.201	11.016	10.69
7	17	B	1.099	10.533	10.173
7	18	A	1.1	11.804	11.478
7	18	B	1.043	10.496	10.281
24	37	A	1.556	10.303	9.988
24	37	B	1.182	10.417	9.687
24	38	A	1.072	10.205	9.477
24	38	B	1.144	10.396	9.699
24	39	A	1.274	10.658	10.151
24	39	B	1.184	10.442	9.874
24	40	A	1.114	10.433	9.556
24	40	B	1.193	10.594	9.77
24	41	A	1.238	10.088	9.526
24	41	B	1.177	10.513	9.827
24	42	A	1.15	10.847	10.067
24	42	B	1.193	10.825	10.085
9	19	A	1.304	10.391	10.212
9	19	B	1.141	10.093	9.793
9	20	A	1.118	10.81	9.455
9	20	B	1.085	10.192	9.088
9	21	A	1.113	10.754	10.534
9	21	B	1.187	10.942	10.788
9	22	A	1.136	10.313	10.079
9	22	B	1.175	11.337	10.994
9	23	A	1.181	10.426	10.072
9	23	B	1.158	10.157	9.812
9	24	A	1.163	10.664	10.469
9	24	B	1.105	10.553	10.312
22	31	A	1.029	7.996	6.871
22	31	B	1.089	7.592	6.607
22	32	A	1.08	9.684	8.336
22	32	B	1.095	9.624	8.319
22	33	A	1.105	8.461	7.47
22	33	B	1.079	8.331	7.33
22	34	A	1.11	8.167	7.715
22	34	B	1.163	8.71	8.194
22	35	A	1.55	9.232	8.46
22	35	B	0.998	9.126	7.807
22	36	A	1.188	9.414	8.335
22	36	B	1.106	9.599	8.404
41	49	A	1.04	10.168	10.251
41	49	B	1.081	10.288	10.408
41	50	A	1.188	10.52	10.639
41	50	B	1.089	10.199	10.25
41	51	A	1.083	10.383	10.538
41	51	B	0.97	10.293	10.332
41	52	A	1.078	10.48	10.651
41	52	B	0.995	9.751	9.904
41	53	A	0.992	9.418	9.459
41	53	B	1.108	9.54	9.697
41	54	A	0.974	9.981	9.89
41	54	B	0.972	10.645	10.485
100	67	A	0.973	10.093	9.941
100	67	B	1.085	10.056	10.026
100	68	A	1.067	10.029	9.774
100	68	B	1.017	11.204	10.752
100	69	A	1.005	10.266	9.926
100	69	B	1.08	11.314	10.934
100	70	A	1.086	10.823	10.229
100	70	B	1.172	9.823	9.487
100	71	B	1.073	8.512	8.325
100	71	A	0.988	8.21	7.98
100	72	A	1.232	9.672	9.524
100	72	B	1.08	9.951	9.608
