Sample ID	_15NAir (ä)	Total N (µg)	N Comment	Tray Name	Well Id	Type of Material	Analysis	Sample Weight (mg) from Sample List	Internal ID	Analysis Number	Mass Spec
UM1	1.896507228	92.74966049		LiveOak	A1	Leaf	N15	4.178	1617677	537834	P
UM2	1.511727316	100.5839926		LiveOak	A2	Leaf	N15	4.541	1617678	537835	P
58_1	-5.129897927	74.87554049		LiveOak	A3	Leaf	N15	2.985	1617679	537836	P
58_2	-5.773599915	145.7985231		LiveOak	A5	Leaf	N15	5.551	1617681	537838	P
58_3	-5.3553055	112.6551989		LiveOak	A6	Leaf	N15	4.233	1617682	537839	P
58_4	-5.237077305	89.18248312		LiveOak	A7	Leaf	N15	3.538	1617683	537840	P
58_5	-5.082999683	92.03653088		LiveOak	A8	Leaf	N15	4.051	1617684	537841	P
100_1	-0.140060529	106.2700658		LiveOak	A9	Leaf	N15	3.982	1617685	537842	P
100_2	-0.855427305	106.9801368		LiveOak	A11	Leaf	N15	4.018	1617687	537844	P
100_3	-0.439494392	131.0315544		LiveOak	A12	Leaf	N15	4.865	1617688	537845	P
100_4	-0.504015974	108.3998199		LiveOak	B1	Leaf	N15	4.029	1617689	537849	P
100_5	-0.349333621	111.237351		LiveOak	B2	Leaf	N15	4.31	1617690	537850	P
31_1	-3.846858343	104.1389354		LiveOak	B3	Leaf	N15	4.274	1617691	537851	P
31_2	-5.301572054	97.73728564		LiveOak	B5	Leaf	N15	4.421	1617693	537853	P
31_3	-5.279359926	120.4424278		LiveOak	B6	Leaf	N15	4.562	1617694	537854	P
31_4	-5.118403786	116.1971424		LiveOak	B7	Leaf	N15	4.997	1617695	537855	P
31_5	-4.772614923	129.621659		LiveOak	B8	Leaf	N15	5.903	1617696	537856	P
41_1	0.036003473	138.7750445		LiveOak	B9	Leaf	N15	4.787	1617697	537857	P
41_2	-0.54339372	159.1009994		LiveOak	B11	Leaf	N15	5.736	1617699	537859	P
41_3	0.15454418	178.6040191		LiveOak	B12	Leaf	N15	5.875	1617700	537860	P
41_4	-0.765352533	169.5639566		LiveOak	C1	Leaf	N15	5.448	1617701	537867	P
41_5	-0.787903147	110.5281976		LiveOak	C2	Leaf	N15	4.263	1617702	537868	P
50_1	-4.449023203	131.7362727		LiveOak	C3	Leaf	N15	5.136	1617703	537869	P
50_2	-4.924622566	137.3685136		LiveOak	C4	Leaf	N15	5.733	1617704	537870	P
50_3	-5.94547384	115.4890595		LiveOak	C5	Leaf	N15	4.978	1617705	537871	P
50_4	-5.43011936	79.17404645		LiveOak	C6	Leaf	N15	4.285	1617706	537872	P
50_5	-4.970533857	109.8188913		LiveOak	C7	Leaf	N15	4.532	1617707	537873	P
24_1	0.022043883	95.6006496		LiveOak	C9	Leaf	N15	3.851	1617709	537875	P
24_2	-0.68340341	107.6900548		LiveOak	C10	Leaf	N15	4.178	1617710	537876	P
24_3	0.150434316	153.5066858		LiveOak	C11	Leaf	N15	5.473	1617711	537877	P
24_4	-0.451580162	142.9909669		LiveOak	C12	Leaf	N15	5.108	1617712	537878	P
24_5	-0.830685145	128.9164818		LiveOak	D1	Leaf	N15	5.078	1617713	537882	P
20_1	-4.605601054	123.2695594		LiveOak	D3	Leaf	N15	5.08	1617715	537884	P
20_2	-4.622334703	86.32598844		LiveOak	D4	Leaf	N15	3.843	1617716	537885	P
20_3	-5.497417826	143.6930853		LiveOak	D5	Leaf	N15	5.695	1617717	537886	P
20_4	-5.441066331	102.7174171		LiveOak	D6	Leaf	N15	5.001	1617718	537887	P
20_5	-4.18080458	88.46858885		LiveOak	D7	Leaf	N15	3.805	1617719	537888	P
22_1	-0.512901593	133.1452505		LiveOak	D9	Leaf	N15	4.443	1617721	537890	P
22_2	-1.011601663	107.6900548		LiveOak	D10	Leaf	N15	3.724	1617722	537891	P
22_3	-2.370663923	130.3266831		LiveOak	D11	Leaf	N15	5.655	1617723	537892	P
22_4	-3.049896498	92.03653088		LiveOak	D12	Leaf	N15	3.903	1617724	537893	P
22_5	-2.162404662	109.8188913		LiveOak	E1	Leaf	N15	5.384	1617725	537899	P
7_1	-2.130338248	116.1971424		LiveOak	E3	Leaf	N15	4.87	1617727	537901	P
7_2	-2.390443477	139.4780806		LiveOak	E4	Leaf	N15	4.895	1617728	537902	P
7_3	-2.027983985	83.46704684		LiveOak	E5	Leaf	N15	3.377	1617729	537903	P
7_4	-1.870366251	100.5839926		LiveOak	E6	Leaf	N15	3.529	1617730	537904	P
7_5	-1.667168983	78.45801112		LiveOak	E7	Leaf	N15	3.46	1617731	537905	P
9_1	-4.531213098	87.04034151		LiveOak	E9	Leaf	N15	3.438	1617733	537907	P
9_2	-3.859791517	83.46704684		LiveOak	E10	Leaf	N15	3.153	1617734	537908	P
9_3	-4.454910933	84.8968235		LiveOak	E11	Leaf	N15	3.655	1617735	537909	P
9_4	-4.181315692	121.1494401		LiveOak	E12	Leaf	N15	4.588	1617736	537910	P
9_5	-3.873528377	74.15858756		LiveOak	F1	Leaf	N15	2.977	1617737	537917	P
3_1	-4.983856821	102.0064285		LiveOak	F3	Leaf	N15	4.53	1617739	537919	P
3_2	-4.982538491	97.02522656		LiveOak	F4	Leaf	N15	3.765	1617740	537920	P
3_3	-5.119092911	73.36976271		LiveOak	F5	Leaf	N15	3.165	1617741	537921	P
3_4	-5.367071365	66.83693222		LiveOak	F6	Leaf	N15	3.151	1617742	537922	P
3_5	-5.585258356	81.32123484		LiveOak	F7	Leaf	N15	3.7	1617743	537923	P
6_1	-0.171439951	129.621659		LiveOak	F9	Leaf	N15	4.157	1617745	537925	P
6_3	-0.598800151	152.1065781		LiveOak	F10	Leaf	N15	5.573	1617746	537926	P
6_92	-0.605491272	106.2700658		LiveOak	F12	Leaf	N15	4.488	1617748	537928	P
6_94	-0.874523647	165.3829029		LiveOak	G1	Leaf	N15	5.53	1617749	537934	P
6_108	-0.398922535	104.8494651		LiveOak	G2	Leaf	N15	3.976	1617750	537935	P
