Project,Sample,Mass,Nitrogen,Carbon,Date_time
Blank,,1,0.00704,0.03153,3/26/2019 9:56
Blank,,1,0.00435,0.01725,3/26/2019 10:01
Blank,,1,0.00343,0.0176,3/26/2019 10:07
Blank,,1,0.00374,0.03134,3/26/2019 10:12
Blank,,1,0.00373,0.02046,3/26/2019 10:18
orchard leaves - lot 1036,,0.2023,1.7788,49.13,3/26/2019 10:26
orchard leaves - lot 1036,,0.2013,1.7661,49.154,3/26/2019 10:31
orchard leaves - lot 1036,,0.2,1.7645,49.3,3/26/2019 10:36
orchard leaves - lot 1036,,0.2067,2.5659,75.138,3/26/2019 10:42
orchard leaves - lot 1036,,0.2005,1.7713,49.382,3/26/2019 10:47
Zak_WA_pre_roots,3_1_1,0.2092,0.97748,53.677,3/26/2019 11:12
Zak_WA_pre_roots,3_1_2,0.2034,0.98327,53.856,3/26/2019 11:18
Zak_WA_pre_roots,6_1_1,0.155,1.3989,51.933,3/26/2019 11:23
Zak_WA_pre_roots,7_1_1,0.2092,1.3507,52.424,3/26/2019 11:29
Zak_WA_pre_roots,9_1_1,0.2003,1.1511,51.025,3/26/2019 11:34
Zak_WA_pre_roots,20_1_1,0.2075,0.94453,52.664,3/26/2019 11:39
Zak_WA_pre_roots,22_1_1,0.2079,1.3463,52.185,3/26/2019 11:45
Zak_WA_pre_roots,24_1_1,0.21,1.584,50.925,3/26/2019 11:50
Zak_WA_pre_roots,31_1_1,0.2055,0.94627,53.403,3/26/2019 11:55
Blank,Blank,1,0.00212,0.02436,3/26/2019 12:01
Zak_WA_pre_roots,41_1_1,0.2087,1.6356,51.87,3/26/2019 12:06
Zak_WA_pre_roots,50_1_1,0.2074,0.92543,53.326,3/26/2019 12:12
Zak_WA_pre_roots,58_1_1,0.2021,1.1599,52.886,3/26/2019 12:17
Zak_WA_pre_roots,100_1_1,0.2073,1.4943,52.139,3/26/2019 12:22
Zak_WA_pre_roots,3_2_1,0.2094,1.0335,53.678,3/26/2019 12:28
Zak_WA_pre_roots,6_2_1,0.2076,1.3377,51.997,3/26/2019 12:33
Zak_WA_pre_roots,7_2_1,0.2118,1.3118,52.774,3/26/2019 12:39
Zak_WA_pre_roots,9_2_1,0.2083,1.1263,51.45,3/26/2019 12:44
Zak_WA_pre_roots,20_2_1,0.2074,1.0088,52.287,3/26/2019 12:49
orchard leaves - lot 1036,Standard,0.2006,1.7744,49.53,3/26/2019 12:55
Zak_WA_pre_roots,22_2_1,0.206,1.3927,51.958,3/26/2019 13:00
Zak_WA_pre_roots,24_2_1,0.2059,1.7992,50.252,3/26/2019 13:06
Zak_WA_pre_roots,31_2_1,0.2097,1.0012,53.887,3/26/2019 13:11
Zak_WA_pre_roots,41_2_1,0.2067,1.7423,51.721,3/26/2019 13:16
Zak_WA_pre_roots,50_2_1,0.2102,0.83686,53.721,3/26/2019 13:22
Zak_WA_pre_roots,58_2_1,0.2096,1.1438,53.611,3/26/2019 13:27
Zak_WA_pre_roots,100_2_1,0.2054,1.5268,51.61,3/26/2019 13:33
Zak_WA_pre_roots,3_3_1,0.2062,0.96391,54.059,3/26/2019 13:38
Zak_WA_pre_roots,6_3_1,0.1995,1.437,51.978,3/26/2019 13:43
Blank,Blank,1,0.00582,0.02494,3/26/2019 13:49
Zak_WA_pre_roots,7_3_1,0.2083,1.4079,52.928,3/26/2019 13:54
Zak_WA_pre_roots,9_3_1,0.2037,1.1415,51.724,3/26/2019 14:00
Zak_WA_pre_roots,20_3_1,0.2028,1.0144,52.316,3/26/2019 14:05
Zak_WA_pre_roots,22_3_1,0.2048,1.4215,51.896,3/26/2019 14:10
Zak_WA_pre_roots,24_3_1,0.2033,1.8308,49.615,3/26/2019 14:16
Zak_WA_pre_roots,31_3_1,0.2079,1.0376,53.92,3/26/2019 14:21
Zak_WA_pre_roots,41_3_1,0.2092,1.7887,51.921,3/26/2019 14:26
Zak_WA_pre_roots,50_3_1,0.2021,0.96124,53.298,3/26/2019 14:32
Zak_WA_pre_roots,58_3_1,0.2004,1.2263,52.875,3/26/2019 14:37
orchard leaves - lot 1036,Standard,0.2003,1.8459,49.559,3/26/2019 14:43
Zak_WA_pre_roots,100_3_1,0.2032,1.63,51.515,3/26/2019 14:48
Blank,Blank,1,0.0217,0.01582,3/26/2019 14:53
