PLOT	SOIL.PH
1	4.03
2	3.97
3	3.87
4	4.03
5	3.94
6	3.79
7	5.09
8	4.63
9	5.13
10	5.23
11	5.07
12	5.05
13	4.11
14	4.22
15	4.26
16	4.31
17	4.31
18	4.35
19	3.98
20	4.72
21	4.15
22	4.11
23	4.35
24	4.48
25	3.78
26	4.00
27	4.10
28	4.17
29	4.12
30	4.05
31	6.34
32	5.90
33	6.22
34	5.80
35	5.69
36	5.63
37	4.79
38	4.75
39	4.96
40	5.29
41	5.65
42	5.28
43	3.88
44	4.01
45	3.93
46	3.90
47	3.90
48	4.26
49	3.94
50	4.06
51	4.30
52	4.24
53	3.87
54	4.29
55	4.40
56	4.05
57	3.67
58	3.94
59	3.93
60	4.13
61	4.20
62	4.37
63	4.46
64	4.44
65	4.61
66	4.31
67	4.40
68	4.23
69	4.44
70	4.74
71	5.18
72	5.38
