Compound	Type	Source	3-1_R	3-2_R	3-3_R	6-1_R	6-2_R	6-3_R	7-1_R	7-2_R	7-3_R	9-1_R	9-2_R	9-3_R	20-1_R	20-2_R	20-3_R	22-1_R	22-2_R	22-3_R	24-1_R	24-2_R	24-3_R	31-1_R	31-2_R	31-3_R	41-1_R	41-2_R	41-3_R	50-1_R	50-2_R	50-3_R	58-1_R	58-2_R	58-3_R	100-1_R	100-2_R	100-3_R	MS-1_S	MS-2_S	MS-3_S	MS-4_S	MS-5_S	MS-6_S	MS-7_S	MS-8_S	MS-9_S	MS-10_S	MS-11_S	MS-12_S	MS-13_S	MS-14_S	MS-15_S	MS-16_S	MS-17_S	MS-18_S	MS-19_S	MS-20_S	MS-21_S	MS-22_S	MS-23_S	MS-24_S	MS-25_S	MS-26_S	MS-27_S	MS-28_S	MS-29_S	MS-30_S	MS-31_S	MS-32_S	MS-33_S	MS-34_S	MS-35_S	MS-36_S	MS-37_S	MS-38_S	MS-39_S	MS-40_S	MS-41_S	MS-42_S	MS-43_S	MS-44_S	MS-45_S	MS-46_S	MS-47_S	MS-48_S	MS-49_S	MS-50_S	MS-51_S	MS-52_S	MS-53_S	MS-54_S	MS-55_S	MS-56_S	MS-57_S	MS-58_S	MS-59_S	MS-60_S	MS-61_S	MS-62_S	MS-63_S	MS-64_S	MS-65_S	MS-66_S	MS-67_S	MS-68_S	MS-69_S	MS-70_S	MS-71_S	MS-72_S
2H-1-Benzopyran-2-one	Aromatic	Aromatic	0	0	0	0	0.000143656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000200559	0	0	0.000736323	0	0	0	0	0	0.000411688	0.000256471	0	0	0	0	0	0	0	0	0.0006437	0.000347861	0.000513116	0	0.000409192	0.000319869	0.000555259	0.000489045	0.000911394	0.000208117	0	0	0	0	0	0.000486718	0.00051714	0	0	0	0.000126702	0	0.000346013	0	0	0.000514523	0	0	7.04064E-05	0	6.3156E-05	0	0	0	0	0	0.000206683	0.000237138	0.000313437	0.000190206	0	0.000317058	0	0	0.00013543	0	0	0	0	8.98289E-05	0	0	0	0	0	0	0.000922903	0.000728157	0	0	0	0	0	0	0	0.000418557	0	0	0.001002591	0.00022296
Acetophenone	Aromatic	Aromatic	0.00365317	0.003856012	0.003301661	0	0	0.002226851	0	0.004473278	0.005698558	0.005356463	0.004683372	0.002218681	0.000990443	0.003790607	0.006207701	0.005430927	0.003788038	0.003556401	0.004390732	0.003826618	0.005345396	0	0.005452873	0.0054459	0.007165207	0.005834007	0.005245157	0.004501606	0.004227719	0.00349574	0.000371647	0.004410658	0	0.008778819	0.004948637	0.004520624	0.001062815	0.002543164	0.005600778	0.008047523	0.004703566	0.002647989	0.005675884	0.005320095	0.003783382	0.009728512	0.004488545	0.011035019	0.011551744	0.008195453	0.006780223	0.004732166	0.005670278	0.004914895	0.005348708	0.006444823	0.001632499	0.008669767	0.005526037	0.008290777	0.002478533	0.00200344	0.007856245	0.006123549	0.004983045	0.005650774	0	0	0	0.003256237	0.006759667	0	0.005417953	0.004060353	0	0.006612749	0.004959076	0.003735202	0.005320303	0.005626218	0.005990591	0.006511275	0.005489024	0.006165555	0.006142741	0.006008607	0.006781327	0.00932229	0.006869737	0.005567154	0.008101598	0.007466859	0.007974291	0.006378512	0.006013188	0.003690661	0.011141317	0.006580847	0.008107267	0.010265543	0.008168351	0.00727794	0.010364733	0.009560229	0.007751461	0.00552785	0.008308582	0.006703381
Anthracene	Aromatic	Aromatic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000194198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000581002	0	0	0	0	0.001245892	0.002477107	0.00231421	0.001370675	0.001817287	0.00102534	0.000362393	0	0.000948567	0.00122436	0.001560043	0.000671539	0.000967293	0.001850028	0.001496954	0.000454492	0.005571541	0.000870048	0.00220154	0.01014132	0.00239341	0.003376646	0.002671427	0.003987025	0.002098164	0.001934356	0.00176527	0.00177909	0.007658766	0.001036855	0	0	0	0	0	0.000176662	0.000723537	0.000367365	0.000555093	0.00122634	0	0	0.000947717	0	0.00034232	0.000352999	0	0	0.000707751	0.002804017	0.000465529	0.00052947	0.005267412	0.002292358	0.000619854	0	0	0.007525437	0.001019819	0.00160843	0.002524531	0.000523296	0.000963472	0.001389535	0.000723724	0.002211529	0.001685215	0.001198596	0.000238506	0	0	0.000351199
Benzaldehyde	Aromatic	Aromatic	0	0	0.004837728	0	0	0	0	0	0.004430515	0	0	0	0	0	0	0	0	0.003758469	0	0	0.004254499	0.006809984	0	0	0	0	0.006856414	0	0	0	0.008641261	0	0	0	0	0	0.007177242	0	0.010443117	0.002985371	0	0	0.009035816	0	0	0	0	0	0.012109516	0.002904717	0.003133159	0	0	0.002258625	0.002423171	0.000395759	0.002822287	0.003613924	0.002915671	0.003670299	0	0.000766834	0	0	0	0	0.002705916	0	0	0	0	0	0	0	0	0.002547535	0	0	0.005005206	0	0.002619792	0.005907702	0	0	0.003026858	0.000637435	0.003134073	0	0	0.002654309	0.006017294	0	0.007945028	0	0.010330349	0.001199465	0.003359086	0.004202228	0.012062986	0	0.002539384	0.006554167	0.014166396	0	0	0.001694549	0.016322766	0.001451428
Benzene	Aromatic	Aromatic	0	0	0.000766268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001166618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003038585	0	0	0	0	0	0	0	0	0	0	0.002010914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000637903	0	0	0	0	0.004444635	0.001080107	0	0	0	0.003231077	0	0	0	0.002960089	0	0	0	0	0	0	0	0	0	0	0.003229328	0	0	0	0	0	0	0	0	0	0	0.002600521	0
Benzene	Aromatic	Aromatic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002762685	0.003632909	0.002641126	0.001023643	0.001820097	0.003613607	0	0	0	0	0	0	0	0.004325758	0.002976732	0.002980954	0	0	0	0.001190287	0	0.002218061	0	0	0	0.001339028	0	0	0.002331777	0.001844263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003769871	0.003788065	0.003321402	0	0	0	0	0	0	0.005028793	0.003936045	0	0	0.002298894	0.001773108	0.001539901	0.00076053	0.004284335
"Benzene, (1,3-dimethylbutyl)-"	Aromatic	Aromatic	0.000607395	0.000789564	0.00066916	0.000693899	0	0.000408256	0.001026119	0.00113039	0.000520967	0.000311985	0.000367713	0	0.000504353	0.000547886	0	0.000370974	0.000633313	0.000350252	0.000277924	0.000255928	0.000186816	0.000520035	0.000519321	0.000497549	0.000348189	0.000301533	0.000311967	0.001015987	0.000630199	0.000444433	0.000443048	0	0	0.000612225	0.000366765	0.000403077	0.0011179	0.000734875	0.000457008	0.000937147	0.002351783	0.000741195	0.000352793	0	0.000347037	0	0.001135821	0.000404133	0	0.000911182	0	0.000667269	0	0	0	0	0.000424727	0	0.000722048	0	0	0.00038169	0	0.00079896	0	0	0	0	0	0	0	0	0	0.000475939	0.001346395	0	0	0.000468623	0.000453256	0.000786427	0	0	0.000851568	0	0	0	0.000751444	0	0.000738543	0	0	0	0	0	0	0	0.001226797	0	0	0	0	0	0.000578761	0.000572345	0.000382866	0	0	0.000483809
"Benzene, (1-methylethyl)-"	Aromatic	Aromatic	0	0	0	0	0	0	0	0	0	0	0	0	0.000363865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001728478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004103887	0	0	0	0	0.004475459	0	0	0	0	0	0	0.002817869	0	0	0	0	0.007131436	0.003458027	0	0	0	0	0	0
"Benzene, 1,2,3,4-tetramethyl-"	Aromatic	Aromatic	0.000742371	0.003011362	0.001066419	0.000398373	0.000457665	0.002103137	0.001175647	0	0.000705827	0.00139325	0.000455914	0.000788314	0.004032016	0.003073895	0.00079671	0.001754607	0	0.000836562	0	0	0	0.000800173	0.001144361	0.000705615	0	0	0	0	0.00063495	0	0.00068471	0.001052181	0.003019917	0.002508234	0	0.001224627	0.000797111	0.002972529	0.002917072	0.002777693	0.006261241	0.003022819	0.00195596	0	0	0.001067167	0.000741705	0.001742371	0.00236319	0.003354257	0.002519789	0.001702218	0.00499323	0.007237143	0.002024235	0.004713378	0.006585337	0.003851202	0.005541302	0.002664227	0.002920252	0.005198581	0.005693392	0.002337094	0.005739227	0.004172067	0.0008433	0	0.00148002	0	0	0.002636127	0	0.003956242	0.001372968	0.002141013	0.002369173	0.001295605	0	0.001896129	0.003021494	0.002286262	0.002393967	0.00523197	0.006254023	0.009944681	0	0.002692603	0.005617345	0.002413008	0.012342703	0.012019822	0.003233612	0.006016325	0.008127716	0.004787884	0.005883617	0.008245881	0.005894414	0.005520329	0.007194921	0.009167792	0.002231822	0.004581934	0.004566144	0.004458475	0	0.004211472
"Benzene, 1,2,3-trimethyl-"	Aromatic	Aromatic	0.002831574	0.002368693	0.003442908	0.001406024	0.001563689	0.002366029	0.002098879	0.002158534	0.003131916	0.001965936	0.002236093	0.002466579	0.001980886	0.003758753	0.002622505	0.00215566	0.002083421	0.002141923	0.001856719	0.001747202	0.004963582	0.002723994	0.002986097	0.003039572	0.005150892	0.005873337	0.001325573	0.002282064	0.00262847	0.004075436	0.002563086	0.003312422	0.001800049	0.001820492	0.00207654	0.004478636	0.004439197	0.005845973	0.007817752	0.005970743	0.00497845	0.002454529	0.004847901	0.003430715	0.002912388	0.004349011	0.002572703	0.002843453	0.004564921	0.005342605	0.004475942	0.003932124	0.004132814	0.006505476	0.003974592	0.003655273	0.004150422	0.003978967	0.004197956	0.004713633	0.003214731	0.004248674	0.004421126	0.00478289	0.005700448	0.004154463	0.002377528	0.003822485	0.003540565	0.004177514	0.004659576	0.003022575	0.002949012	0.002111979	0.003882695	0.004783403	0.003237379	0.003114966	0.002860118	0.004382855	0.004698161	0.004572525	0.006361112	0.004395633	0.005497308	0.005050714	0.006433097	0.00631291	0.003904515	0.003740162	0.006796643	0.006446995	0.003789617	0.010483296	0.008127716	0.004775416	0.008721106	0.006025836	0.006775638	0.007297421	0.008401128	0.007619722	0.00174763	0.003487978	0.004471997	0.004195244	0.002764076	0.003672287
