SAMPLE.ID	STAND	PLOT	REPLICATE	SUBSTRATE
MS-1_S	3	1	1	som
MS-2_S	3	2	2	som
MS-3_S	3	3	3	som
MS-4_S	3	4	4	som
MS-5_S	3	5	5	som
MS-6_S	3	6	6	som
MS-7_S	6	7	1	som
MS-8_S	6	8	2	som
MS-9_S	6	9	3	som
MS-10_S	6	10	4	som
MS-11_S	6	11	5	som
MS-12_S	6	12	6	som
MS-13_S	7	13	1	som
MS-14_S	7	14	2	som
MS-15_S	7	15	3	som
MS-16_S	7	16	4	som
MS-17_S	7	17	5	som
MS-18_S	7	18	6	som
MS-19_S	9	19	1	som
MS-20_S	9	20	2	som
MS-21_S	9	21	3	som
MS-22_S	9	22	4	som
MS-23_S	9	23	5	som
MS-24_S	9	24	6	som
MS-25_S	20	25	1	som
MS-26_S	20	26	2	som
MS-27_S	20	27	3	som
MS-28_S	20	28	4	som
MS-29_S	20	29	5	som
MS-30_S	20	30	6	som
MS-31_S	22	31	1	som
MS-32_S	22	32	2	som
MS-33_S	22	33	3	som
MS-34_S	22	34	4	som
MS-35_S	22	35	5	som
MS-36_S	22	36	6	som
MS-37_S	24	37	1	som
MS-38_S	24	38	2	som
MS-39_S	24	39	3	som
MS-40_S	24	40	4	som
MS-41_S	24	41	5	som
MS-42_S	24	42	6	som
MS-43_S	31	43	1	som
MS-44_S	31	44	2	som
MS-45_S	31	45	3	som
MS-46_S	31	46	4	som
MS-47_S	31	47	5	som
MS-48_S	31	48	6	som
MS-49_S	41	49	1	som
MS-50_S	41	50	2	som
MS-51_S	41	51	3	som
MS-52_S	41	52	4	som
MS-53_S	41	53	5	som
MS-54_S	41	54	6	som
MS-55_S	50	55	1	som
MS-56_S	50	56	2	som
MS-57_S	50	57	3	som
MS-58_S	50	58	4	som
MS-59_S	50	59	5	som
MS-60_S	50	60	6	som
MS-61_S	58	61	1	som
MS-62_S	58	62	2	som
MS-63_S	58	63	3	som
MS-64_S	58	64	4	som
MS-65_S	58	65	5	som
MS-66_S	58	66	6	som
MS-67_S	100	67	1	som
MS-68_S	100	68	2	som
MS-69_S	100	69	3	som
MS-70_S	100	70	4	som
MS-71_S	100	71	5	som
MS-72_S	100	72	6	som
