Plot	Stand	Total mass (g)	Mass -80 (g)	Mass enz/biochem (g)	Tin (g)	Fresh + tin (g)	Dry + tin (g)	Moisture content	Time	Date	Notes	
73_A	3	9.277	3.25	5.674	1.097	1.45	1.288	0.458923513	9:00	2020-07-06		
73_B	3	10.054	3.042	6.568	1.164	1.608	1.408	0.45045045	9:30	2020-07-06		
74_A	3	9.292	3.123	5.627	0.973	1.515	1.284	0.426199262	11:20	2020-07-06		
74_B	3	9.455	3.034	5.864	1.176	1.733	1.493	0.430879713	11:50	2020-07-06		
1	3	10.413	3.138	6.62	1.154	1.809	1.521	0.439694656	12:20	2020-07-06		
2	3	8.742	2.9	5.352	0.984	1.474	1.304	0.346938776	13:00	2020-07-06		
3	3	8.568	2.702	5.428	1.082	1.52	1.342	0.406392694	13:30	2020-07-06		
4	3	10.212	3.333	6.426	1.191	1.644	1.451	0.426048565	14:00	2020-07-06		
5	3	10.38	3.144	6.679	1.177	1.734	1.492	0.434470377	14:30	2020-07-06	Hole poked in bag 9	
6	3	8.452	2.66	5.224	1.305	1.873	1.666	0.36443662	14:45	2020-07-06		
55	50	7.889	2.618	4.782	1.185	1.674	1.542	0.26993865	15:10	2020-07-06		
56	50	7.806	2.62	4.658	1.005	1.533	1.365	0.318181818	15:30	2020-07-06		
57	50	8.79	2.837	5.397	1.021	1.577		2.836330935	16:00	2020-07-06	A lot of rhizomorphic mycelium	
58	50	7.607	2.554	4.576	1.082	1.559	1.414	0.303983229	16:30	2020-07-06	A lot of mycelium	
59	50	7.928	2.597	4.867	1.063	1.527	1.395	0.284482759	17:05	2020-07-06		
60	50	7.389	2.388	4.482	1.075	1.594	1.443	0.290944123	17:30	2020-07-06		
25	20	8.449	2.801	5.189	1.172	1.631	1.43	0.437908497	17:50	2020-07-06		
26	20	9.62	3.058	6.064	1.155	1.653	1.411	0.485943775	18:30	2020-07-06		
27	20	9.89	3.013	6.393	0.988	1.472	1.279	0.398760331	8:50	2020-07-07		
28	20	6.748	2.215	4.146	1.16	1.547	1.488	0.15245478	9:20	2020-07-07		
29	20	9.155	3.228	5.419	0.964	1.472	1.281	0.375984252	9:45	2020-07-07	Large new root in bag	
