Site	Plot	Microbial bag	Chemistry bag	Test bag	Bag angle	Bag distance (m)	Date placed	Time placed	Data logger angle	Data logger distance (m)	Probe angle	Probe distance (m)	Site latitude degrees (N)	Site latitude minutes (N)	Site longitude degrees (W)	Site longitude minutes (W)	Site elevation (ft)	Notes
3	1	1	2		347	5	5/29/19	14:30	50	0.8	345	1.6	44	15.852	86	10.674	806	
3	2	3	4		48	13.9	5/29/19	14:30	50	0.8	345	1.6	44	15.852	86	10.674	806	
3	3	5	6		121	13.1	5/29/19	14:30	50	0.8	345	1.6	44	15.852	86	10.674	806	
3	4	7	8		190	10.8	5/29/19	14:30	50	0.8	345	1.6	44	15.852	86	10.674	806	
3	5	9	10		250	17.9	5/29/19	14:30	50	0.8	345	1.6	44	15.852	86	10.674	806	
3	6	11	12		290	14	5/29/19	14:30	50	0.8	345	1.6	44	15.852	86	10.674	806	
3	73			145	300	2.95	5/29/19	14:30	50	0.8	345	1.6	44	15.852	86	10.674	806	
3	73			146	300	2.95	5/29/19	14:30	50	0.8	345	1.6	44	15.852	86	10.674	806	
3	73			147	300	2.95	5/29/19	14:30	50	0.8	345	1.6	44	15.852	86	10.674	806	
3	73			148	300	2.95	5/29/19	14:30	50	0.8	345	1.6	44	15.852	86	10.674	806	
3	73			149	300	2.95	5/29/19	14:30	50	0.8	345	1.6	44	15.852	86	10.674	806	
6	7	13	14		4	2.8	5/30/19	12:15	205	1.65	275	0.8	44	13.168	85	40.115	1545	Data logger is between center and 55
6	8	15	16		55	11.9	5/30/19	12:15	205	1.65	275	0.8	44	13.168	85	40.115	1545	
6	9	17	18		115	6.6	5/30/19	12:15	205	1.65	275	0.8	44	13.168	85	40.115	1545	
6	10	19	20		172	11.6	5/30/19	12:15	205	1.65	275	0.8	44	13.168	85	40.115	1545	
6	11	21	22		228	14.75	5/30/19	12:15	205	1.65	275	0.8	44	13.168	85	40.115	1545	
6	12	23	24		298	12.9	5/30/19	12:15	205	1.65	275	0.8	44	13.168	85	40.115	1545	
7	13	25	26		349	7.9	5/30/19	13:40	245	0.6	295	1.4	44	11.567	85	40.633	1361	
7	14	27	28		54	18.9	5/30/19	13:40	245	0.6	295	1.4	44	11.567	85	40.633	1361	
7	15	29	30		118	9	5/30/19	13:40	245	0.6	295	1.4	44	11.567	85	40.633	1361	
