Plot	Stand	Whirl-Pak label	Bag label	"Root mass, mg"
1	3	3_1	Bag 001	2930.3
1	3	3_2	Bag 002	2944.1
2	3	3_3	Bag 003	2936.4
2	3	3_4	Bag 004	2938
3	3	3_5	Bag 005	2943.5
3	3	3_6	Bag 006	2936.5
4	3	3_7	Bag 007	2966.4
4	3	3_8	Bag 008	2971.6
5	3	3_9	Bag 009	2959.1
5	3	3_10	Bag 010	2951.3
6	3	3_11	Bag 011	2964.3
6	3	3_12	Bag 012	2965.1
7	6	6_1	Bag 013	2378.7
7	6	6_2	Bag 014	2377.1
8	6	6_3	Bag 015	2378.8
8	6	6_4	Bag 016	2375.6
9	6	6_5	Bag 017	2384.1
9	6	6_6	Bag 018	2378.8
10	6	6_7	Bag 019	2370.7
10	6	6_8	Bag 020	2370.8
11	6	6_9	Bag 021	2373
11	6	6_10	Bag 022	2370.3
12	6	6_11	Bag 023	2374.5
12	6	6_12	Bag 024	2366.6
13	7	7_1	Bag 025	2894.8
13	7	7_2	Bag 026	2888.3
14	7	7_3	Bag 027	2890.5
14	7	7_4	Bag 028	2889.1
15	7	7_5	Bag 029	2897.2
15	7	7_6	Bag 030	2894.8
16	7	7_7	Bag 031	2900.1
16	7	7_8	Bag 032	2878.3
17	7	7_9	Bag 033	2889.6
17	7	7_10	Bag 034	2893.3
18	7	7_11	Bag 035	2893.3
18	7	7_12	Bag 036	2889.7
19	9	9_1	Bag 037	2941.8
19	9	9_2	Bag 038	2930.2
20	9	9_3	Bag 039	2931.5
20	9	9_4	Bag 040	2925.1
21	9	9_5	Bag 041	2923
21	9	9_6	Bag 042	2933.5
22	9	9_7	Bag 043	2926.4
22	9	9_8	Bag 044	2930.6
23	9	9_9	Bag 045	2924.5
23	9	9_10	Bag 046	2928.4
24	9	9_11	Bag 047	2929.7
24	9	9_12	Bag 048	2926.9
25	20	20_1	Bag 049	2985
25	20	20_2	Bag 050	2982.3
26	20	20_3	Bag 051	2981.3
26	20	20_4	Bag 052	2984.7
27	20	20_5	Bag 053	2985.2
27	20	20_6	Bag 054	2980.3
28	20	20_7	Bag 055	2981.3
28	20	20_8	Bag 056	2987.9
29	20	20_9	Bag 057	2984.9
29	20	20_10	Bag 058	2979.2
30	20	20_11	Bag 059	2969.4
30	20	20_12	Bag 060	2976.5
31	22	22_1	Bag 061	2960.2
31	22	22_2	Bag 062	2962.9
32	22	22_3	Bag 063	2959.7
32	22	22_4	Bag 064	2952.5
33	22	22_5	Bag 065	2961.1
33	22	22_6	Bag 066	2957.4
34	22	22_7	Bag 067	2958.3
34	22	22_8	Bag 068	2957.4
35	22	22_9	Bag 069	2956.6
35	22	22_10	Bag 070	2959.2
36	22	22_11	Bag 071	2960.4
36	22	22_12	Bag 072	2955.2
37	24	24_1	Bag 073	2285.8
37	24	24_2	Bag 074	2288.5
38	24	24_3	Bag 075	2282.6
38	24	24_4	Bag 076	2278
