Well	Well Type	Replicate	Threshold	Ct	Quantity	R Sq	Slope	
A1	NTC	1	Reference	Reference	Reference	Reference	Reference	
A1	NTC	1	0.6365	No Ct	No Ct	0.992	-3.717	
B1	NTC	1	Reference	Reference	Reference	Reference	Reference	
B1	NTC	1	0.6365	No Ct	No Ct	0.992	-3.717	
C1	Standard	2	Reference	Reference	Reference	Reference	Reference	
C1	Standard	2	0.6365	18.62	3.33e+005	0.992	-3.717	
D1	Standard	2	Reference	Reference	Reference	Reference	Reference	
D1	Standard	2	0.6365	18.57	3.33e+005	0.992	-3.717	
E1	Standard	3	Reference	Reference	Reference	Reference	Reference	
E1	Standard	3	0.6365	19.76	1.67e+005	0.992	-3.717	
F1	Standard	3	Reference	Reference	Reference	Reference	Reference	
F1	Standard	3	0.6365	19.76	1.67e+005	0.992	-3.717	
G1	Standard	4	Reference	Reference	Reference	Reference	Reference	
G1	Standard	4	0.6365	21.08	8.35e+004	0.992	-3.717	
H1	Standard	4	Reference	Reference	Reference	Reference	Reference	
H1	Standard	4	0.6365	21.10	8.35e+004	0.992	-3.717	
A2	Standard	5	Reference	Reference	Reference	Reference	Reference	
A2	Standard	5	0.6365	22.43	4.18e+004	0.992	-3.717	
B2	Standard	5	Reference	Reference	Reference	Reference	Reference	
B2	Standard	5	0.6365	22.44	4.18e+004	0.992	-3.717	
C2	Standard	6	Reference	Reference	Reference	Reference	Reference	
C2	Standard	6	0.6365	23.16	2.09e+004	0.992	-3.717	
D2	Standard	6	Reference	Reference	Reference	Reference	Reference	
D2	Standard	6	0.6365	23.28	2.09e+004	0.992	-3.717	
E2	Standard	7	Reference	Reference	Reference	Reference	Reference	
E2	Standard	7	0.6365	24.06	1.05e+004	0.992	-3.717	
F2	Standard	7	Reference	Reference	Reference	Reference	Reference	
F2	Standard	7	0.6365	24.06	1.05e+004	0.992	-3.717	
H2	Standard	8	Reference	Reference	Reference	Reference	Reference	
H2	Standard	8	0.6365	25.45	5.25e+003	0.992	-3.717	
A3	Unknown	9	Reference	Reference	Reference	Reference	Reference	
A3	Unknown	9	0.6365	22.51	3.224e+004	0.992	-3.717	
B3	Unknown	10	Reference	Reference	Reference	Reference	Reference	
B3	Unknown	10	0.6365	22.60	3.044e+004	0.992	-3.717	
C3	Unknown	11	Reference	Reference	Reference	Reference	Reference	
C3	Unknown	11	0.6365	23.27	2.004e+004	0.992	-3.717	
D3	Unknown	12	Reference	Reference	Reference	Reference	Reference	
D3	Unknown	12	0.6365	23.30	1.976e+004	0.992	-3.717	
E3	Unknown	13	Reference	Reference	Reference	Reference	Reference	
E3	Unknown	13	0.6365	22.47	3.298e+004	0.992	-3.717	
F3	Unknown	14	Reference	Reference	Reference	Reference	Reference	
F3	Unknown	14	0.6365	22.38	3.475e+004	0.992	-3.717	
G3	Unknown	15	Reference	Reference	Reference	Reference	Reference	
G3	Unknown	15	0.6365	24.34	1.035e+004	0.992	-3.717	
H3	Unknown	16	Reference	Reference	Reference	Reference	Reference	
H3	Unknown	16	0.6365	24.28	1.076e+004	0.992	-3.717	
A4	Unknown	17	Reference	Reference	Reference	Reference	Reference	
A4	Unknown	17	0.6365	24.22	1.115e+004	0.992	-3.717	
B4	Unknown	18	Reference	Reference	Reference	Reference	Reference	
B4	Unknown	18	0.6365	24.86	7.474e+003	0.992	-3.717	
C4	Unknown	19	Reference	Reference	Reference	Reference	Reference	
C4	Unknown	19	0.6365	24.12	1.186e+004	0.992	-3.717	
D4	Unknown	20	Reference	Reference	Reference	Reference	Reference	
D4	Unknown	20	0.6365	24.36	1.025e+004	0.992	-3.717	
E4	Unknown	21	Reference	Reference	Reference	Reference	Reference	
E4	Unknown	21	0.6365	23.47	1.778e+004	0.992	-3.717	
F4	Unknown	22	Reference	Reference	Reference	Reference	Reference	
