Well	Well Type	Replicate	Threshold	Ct	Quantity	R Sq	Slope	
A1	NTC	1	Reference	Reference	Reference	Reference	Reference	
A1	NTC	1	0.3060	39.57	2.811e-001	0.993	-3.663	
B1	NTC	1	Reference	Reference	Reference	Reference	Reference	
B1	NTC	1	0.3060	38.27	6.396e-001	0.993	-3.663	
C1	Standard	2	Reference	Reference	Reference	Reference	Reference	
C1	Standard	2	0.3060	17.18	3.33e+005	0.993	-3.663	
D1	Standard	2	Reference	Reference	Reference	Reference	Reference	
D1	Standard	2	0.3060	17.10	3.33e+005	0.993	-3.663	
E1	Standard	3	Reference	Reference	Reference	Reference	Reference	
E1	Standard	3	0.3060	18.38	1.67e+005	0.993	-3.663	
F1	Standard	3	Reference	Reference	Reference	Reference	Reference	
F1	Standard	3	0.3060	18.43	1.67e+005	0.993	-3.663	
G1	Standard	4	Reference	Reference	Reference	Reference	Reference	
G1	Standard	4	0.3060	19.55	8.35e+004	0.993	-3.663	
H1	Standard	4	Reference	Reference	Reference	Reference	Reference	
H1	Standard	4	0.3060	19.82	8.35e+004	0.993	-3.663	
A2	Standard	5	Reference	Reference	Reference	Reference	Reference	
A2	Standard	5	0.3060	21.00	4.18e+004	0.993	-3.663	
B2	Standard	5	Reference	Reference	Reference	Reference	Reference	
B2	Standard	5	0.3060	20.92	4.18e+004	0.993	-3.663	
C2	Standard	6	Reference	Reference	Reference	Reference	Reference	
C2	Standard	6	0.3060	21.59	2.09e+004	0.993	-3.663	
D2	Standard	6	Reference	Reference	Reference	Reference	Reference	
D2	Standard	6	0.3060	21.59	2.09e+004	0.993	-3.663	
E2	Standard	7	Reference	Reference	Reference	Reference	Reference	
E2	Standard	7	0.3060	22.84	1.05e+004	0.993	-3.663	
F2	Standard	7	Reference	Reference	Reference	Reference	Reference	
F2	Standard	7	0.3060	22.61	1.05e+004	0.993	-3.663	
G2	Standard	8	Reference	Reference	Reference	Reference	Reference	
G2	Standard	8	0.3060	23.88	5.25e+003	0.993	-3.663	
H2	Standard	8	Reference	Reference	Reference	Reference	Reference	
H2	Standard	8	0.3060	23.92	5.25e+003	0.993	-3.663	
A3	Unknown	9	Reference	Reference	Reference	Reference	Reference	
A3	Unknown	9	0.3060	19.74	7.311e+004	0.993	-3.663	
B3	Unknown	10	Reference	Reference	Reference	Reference	Reference	
B3	Unknown	10	0.3060	19.55	8.239e+004	0.993	-3.663	
C3	Unknown	11	Reference	Reference	Reference	Reference	Reference	
C3	Unknown	11	0.3060	19.29	9.676e+004	0.993	-3.663	
D3	Unknown	12	Reference	Reference	Reference	Reference	Reference	
D3	Unknown	12	0.3060	20.25	5.290e+004	0.993	-3.663	
E3	Unknown	13	Reference	Reference	Reference	Reference	Reference	
E3	Unknown	13	0.3060	19.90	6.598e+004	0.993	-3.663	
F3	Unknown	14	Reference	Reference	Reference	Reference	Reference	
