Sample number (plot)	Replicate	sample mass
Plot 1	1	0.05
Plot 1	2	0.051
Plot 1	3	0.049
Plot 5	1	0.051
Plot 5	2	0.05
Plot 5	3	0.049
Plot 9	1	0.049
Plot 9	2	0.05
Plot 9	3	0.05
Plot 13	1	0.051
Plot 13	2	0.051
Plot 13	3	0.051
Plot 17	1	0.051
Plot 17	2	0.05
Plot 17	3	0.05
Plot 21	1	0.049
Plot 21	2	0.049
Plot 21	3	0.051
Plot 25	1	0.051
Plot 25	2	0.05
Plot 25	3	0.051
Plot 29	1	0.05
Plot 29	2	0.05
Plot 29	3	0.051
Plot 43	1	0.049
Plot 43	2	0.05
Plot 43	3	0.05
Plot 47	1	0.049
Plot 47	2	0.05
Plot 47	3	0.05
Plot 31	1	0.051
Plot 31	2	0.051
Plot 31	3	0.051
Plot 32	1	0.051
Plot 32	2	0.05
Plot 32	3	0.05
Plot 33	1	0.049
Plot 33	2	0.049
Plot 33	3	0.051
Plot 34	1	0.05
Plot 34	2	0.051
Plot 34	3	0.051
Plot 35	1	0.049
Plot 35	2	0.05
Plot 35	3	0.05
Plot 36	1	0.05
Plot 36	2	0.05
Plot 36	3	0.05
Plot 37	1	0.05
Plot 37	2	0.049
Plot 37	3	0.049
Plot 41	1	0.05
Plot 41	2	0.051
Plot 41	3	0.05
Plot 45	1	0.051
Plot 45	2	0.049
Plot 45	3	0.05
Plot 49	1	0.051
Plot 49	2	0.05
Plot 49	3	0.049
Plot 53	1	0.05
Plot 53	2	0.049
Plot 53	3	0.05
Plot 57	1	0.05
Plot 57	2	0.051
Plot 57	3	0.049
Plot 61	1	0.049
Plot 61	2	0.049
Plot 61	3	0.052
Plot 65	1	0.051
Plot 65	2	0.05
Plot 65	3	0.051
Plot 69	1	0.05
Plot 69	2	0.05
Plot 69	3	0.051
Plot 2	1	0.05
Plot 2	2	0.051
Plot 2	3	0.049
Plot 6	1	0.05
Plot 6	2	0.051
Plot 6	3	0.051
Plot 10	1	0.05
Plot 10	2	0.051
Plot 10	3	0.051
Plot 14	1	0.05
Plot 14	2	0.049
Plot 14	3	0.051
Plot 18	1	0.05
Plot 18	2	0.051
Plot 18	3	0.051
Plot 22	1	0.05
Plot 22	2	0.05
Plot 22	3	0.051
Plot 26	1	0.05
Plot 26	2	0.051
Plot 26	3	0.049
Plot 30	1	0.05
Plot 30	2	0.05
Plot 30	3	0.051
Plot 38	1	0.05
Plot 38	2	0.051
Plot 38	3	0.05
Plot 42	1	0.051
Plot 42	2	0.051
Plot 42	3	0.051
Plot 46	1	0.051
Plot 46	2	0.049
Plot 46	3	0.051
Plot 50	1	0.049
Plot 50	2	0.051
Plot 50	3	0.051
Plot 54	1	0.051
Plot 54	2	0.051
Plot 54	3	0.049
Plot 58	1	0.051
Plot 58	2	0.051
Plot 58	3	0.049
Plot 62	1	0.051
Plot 62	2	0.049
Plot 62	3	0.051
Plot 66	1	0.049
Plot 66	2	0.05
Plot 66	3	0.051
Plot 70	1	0.05
Plot 70	2	0.051
Plot 70	3	0.49
Plot 3	1	0.051
Plot 3	2	0.049
Plot 3	3	0.05
Plot 7	1	0.051
Plot 7	2	0.049
Plot 7	3	0.05
Plot 11	1	0.051
Plot 11	2	0.05
Plot 11	3	0.05
Plot 15	1	0.05
Plot 15	2	0.051
Plot 15	3	0.049
Plot 19	1	0.05
Plot 19	2	0.049
Plot 19	3	0.05
Plot 23	1	0.051
Plot 23	2	0.051
Plot 23	3	0.049
Plot 27	1	0.049
Plot 27	2	0.051
Plot 27	3	0.05
Plot 4	1	0.05
Plot 4	2	0.05
Plot 4	3	0.051
Plot 8	1	0.05
Plot 8	2	0.051
Plot 8	3	0.049
Plot 12	1	0.051
Plot 12	2	0.049
Plot 12	3	0.051
Plot 16	1	0.051
Plot 16	2	0.051
Plot 16	3	0.049
Plot 20	1	0.049
Plot 20	2	0.05
Plot 20	3	0.051
Plot 24	1	0.049
Plot 24	2	0.051
Plot 24	3	0.05
Plot 28	1	0.051
Plot 28	2	0.049
Plot 28	3	0.05
Plot 39	1	0.051
Plot 39	2	0.051
Plot 39	3	0.051
Plot 51	1	0.049
Plot 51	2	0.05
Plot 51	3	0.051
Plot 55	1	0.051
Plot 55	2	0.049
Plot 55	3	0.051
Plot 59	1	0.049
Plot 59	2	0.051
Plot 59	3	0.05
Plot 63	1	0.051
Plot 63	2	0.05
Plot 63	3	0.051
Plot 67	1	0.051
Plot 67	2	0.051
Plot 67	3	0.05
Plot 71	1	0.05
Plot 71	2	0.051
Plot 71	3	0.051
Plot 40	1	0.05
Plot 40	2	0.049
Plot 40	3	0.051
Plot 44	1	0.05
Plot 44	2	0.051
Plot 44	3	0.049
Plot 48	1	0.05
Plot 48	2	0.49
Plot 48	3	0.051
Plot 52	1	0.051
Plot 52	2	0.051
Plot 52	3	0.05
Plot 56	1	0.049
Plot 56	2	0.05
Plot 56	3	0.051
Plot 60	1	0.05
Plot 60	2	0.051
Plot 60	3	0.051
Plot 64	1	0.051
Plot 64	2	0.051
Plot 64	3	0.051
Plot 68	1	0.05
Plot 68	2	0.05
Plot 68	3	0.051
Plot 72	1	0.049
Plot 72	2	0.051
Plot 72	3	0.05
