Sample number (plot)	Replicate (~0.25 g each)	Fresh mass of soil
Plot 1	1	0.255
Plot 1	2	0.263
Plot 1	3	0.261
Plot 1	4	0.243
Plot 7	1	0.252
Plot 7	2	0.253
Plot 7	3	0.247
Plot 7	4	0.251
Plot 14	1	0.244
Plot 14	2	0.25
Plot 14	3	0.263
Plot 14	4	0.256
Plot 20	1	0.258
Plot 20	2	0.251
Plot 20	3	0.254
Plot 20	4	0.262
Plot 27	1	0.252
Plot 27	2	0.251
Plot 27	3	0.259
Plot 27	4	0.256
Plot 31	1	0.252
Plot 31	2	0.25
Plot 31	3	0.252
Plot 31	4	0.247
Plot 40	1	0.256
Plot 40	2	0.259
Plot 40	3	0.252
Plot 40	4	0.251
Plot 48	1	0.252
Plot 48	2	0.25
Plot 48	3	0.255
Plot 48	4	0.249
Plot 50	1	0.25
Plot 50	2	0.253
Plot 50	3	0.253
Plot 50	4	0.256
Plot 57	1	0.257
Plot 57	2	0.258
Plot 57	3	0.248
Plot 57	4	0.251
Plot 61	1	0.252
Plot 61	2	0.25
Plot 68	1	0.252
Plot 68	2	0.256
Plot 68	3	0.245
Plot 68	4	0.25
Plot 38	1	0.25
Plot 38	2	0.251
Plot 38	3	0.261
Plot 38	4	0.245
Plot 33	1	0.254
Plot 33	2	0.253
Plot 33	3	0.255
Plot 33	4	0.252
Plot 28	1	0.255
Plot 28	2	0.254
Plot 28	3	0.254
Plot 28	4	0.248
Plot 23	1	0.251
Plot 23	2	0.253
Plot 17	1	0.252
Plot 17	2	0.25
Plot 17	3	0.256
Plot 17	4	0.254
Plot 8	1	0.249
Plot 8	2	0.252
Plot 8	3	0.258
Plot 8	4	0.259
Plot 6	1	0.251
Plot 6	2	0.257
Plot 6	3	0.256
Plot 6	4	0.248
Plot 71	1	0.251
Plot 71	2	0.25
Plot 71	3	0.253
Plot 71	4	0.254
Plot 64	1	0.251
Plot 64	2	0.255
Plot 64	3	0.253
Plot 64	4	0.252
Plot 60	1	0.25
Plot 60	2	0.256
Plot 60	3	0.253
Plot 60	4	0.249
Plot 52	1	0.252
Plot 52	2	0.26
Plot 52	3	0.254
Plot 52	4	0.248
Plot 44	1	0.255
Plot 44	2	0.252
Plot 44	3	0.254
Plot 44	4	0.253
Plot 3	1	0.252
Plot 3	2	0.248
Plot 3	3	0.251
Plot 3	4	0.249
Plot 15	1	0.253
Plot 15	2	0.25
Plot 15	3	0.251
Plot 15	4	0.252
Plot 25	1	0.25
Plot 25	2	0.249
Plot 25	3	0.251
Plot 25	4	0.253
Plot 39	1	0.254
Plot 39	2	0.252
Plot 39	3	0.249
Plot 39	4	0.253
Plot 53	1	0.251
Plot 53	2	0.254
Plot 53	3	0.25
Plot 53	4	0.249
Plot 65	1	0.25
Plot 65	2	0.251
Plot 65	3	0.254
Plot 65	4	0.252
Plot 11	1	0.25
Plot 11	2	0.248
Plot 11	3	0.25
Plot 11	4	0.252
Plot 19	1	0.252
Plot 19	2	0.25
Plot 19	3	0.251
Plot 19	4	0.252
Plot 35	1	0.252
Plot 35	2	0.248
Plot 35	3	0.252
Plot 35	4	0.249
Plot 43	1	0.25
Plot 43	2	0.251
Plot 43	3	0.251
Plot 43	4	0.252
Plot 55	1	0.249
Plot 55	2	0.254
Plot 55	3	0.253
Plot 55	4	0.25
Plot 72	1	0.251
Plot 72	2	0.248
Plot 72	3	0.25
Plot 72	4	0.253
Plot 2	1	0.251
Plot 2	2	0.252
Plot 2	3	0.248
Plot 2	4	0.251
Plot 9	1	0.251
Plot 9	2	0.249
Plot 9	3	0.253
Plot 9	4	0.251
Plot 13	1	0.253
Plot 13	2	0.249
Plot 13	3	0.25
Plot 13	4	0.25
Plot 21	1	0.248
Plot 21	2	0.252
Plot 21	3	0.25
Plot 21	4	0.25
Plot 26	1	0.252
Plot 26	2	0.251
Plot 26	3	0.252
Plot 26	4	0.248
Plot 32	1	0.249
Plot 32	2	0.251
Plot 32	3	0.251
Plot 32	4	0.25
Plot 37	1	0.252
Plot 37	2	0.252
Plot 45	1	0.252
Plot 45	2	0.253
Plot 45	3	0.251
Plot 45	4	0.25
Plot 49	1	0.251
Plot 49	2	0.253
Plot 49	3	0.248
Plot 49	4	0.25
Plot 56	1	0.249
Plot 56	2	0.254
Plot 62	1	0.249
Plot 62	2	0.25
Plot 62	3	0.249
Plot 62	4	0.252
Plot 67	1	0.253
Plot 67	2	0.252
Plot 67	3	0.251
Plot 67	4	0.25
Plot 5	1	0.251
Plot 5	2	0.252
Plot 5	3	0.248
Plot 5	4	0.253
Plot 18	1	0.25
Plot 18	2	0.251
Plot 18	3	0.248
Plot 18	4	0.254
Plot 29	1	0.25
Plot 29	2	0.249
Plot 29	3	0.253
Plot 29	4	0.251
Plot 42	1	0.25
Plot 42	2	0.25
Plot 42	3	0.25
Plot 42	4	0.25
Plot 51	1	0.251
Plot 51	2	0.25
Plot 51	3	0.253
Plot 51	4	0.252
Plot 66	1	0.248
Plot 66	2	0.252
Plot 66	3	0.253
Plot 66	4	0.251
Plot 12	1	0.248
Plot 12	2	0.251
Plot 12	3	0.251
Plot 12	4	0.251
Plot 22	1	0.25
Plot 22	2	0.252
Plot 22	3	0.252
Plot 22	4	0.252
Plot 36	1	0.248
Plot 36	2	0.253
Plot 36	3	0.25
Plot 36	4	0.249
Plot 47	1	0.251
Plot 47	2	0.252
Plot 47	3	0.25
Plot 47	4	0.25
Plot 58	1	0.252
Plot 58	2	0.251
Plot 58	3	0.248
Plot 58	4	0.25
Plot 69	1	0.25
Plot 69	2	0.249
Plot 69	3	0.252
Plot 69	4	0.252
Plot 4	1	0.251
Plot 4	2	0.253
Plot 4	3	0.25
Plot 4	4	0.253
Plot 10	1	0.25
Plot 10	2	0.249
Plot 10	3	0.253
Plot 10	4	0.25
Plot 16	1	0.252
Plot 16	2	0.248
Plot 16	3	0.251
Plot 16	4	0.251
Plot 24	1	0.249
Plot 24	2	0.251
Plot 24	3	0.252
Plot 24	4	0.248
Plot 30	1	0.25
Plot 30	2	0.248
Plot 30	3	0.252
Plot 30	4	0.254
Plot 34	1	0.252
Plot 34	2	0.253
Plot 34	3	0.249
Plot 34	4	0.249
Plot 41	1	0.252
Plot 41	2	0.249
Plot 41	3	0.252
Plot 41	4	0.251
Plot 46	1	0.251
Plot 46	2	0.253
Plot 46	3	0.252
Plot 46	4	0.247
Plot 54	1	0.247
Plot 54	2	0.253
Plot 54	3	0.252
Plot 54	4	0.251
Plot 59	1	0.252
Plot 59	2	0.25
Plot 59	3	0.25
Plot 59	4	0.252
Plot 63	1	0.248
Plot 63	2	0.249
Plot 63	3	0.252
Plot 63	4	0.252
Plot 70	1	0.251
Plot 70	2	0.253
Plot 70	3	0.249
Plot 70	4	0.249
