SAMPLE	PICKED	DATE.PICKED	OVEN.IN	OVEN.OUT.DATE	OVEN.OUT.TIME	TIN.MASS	TIN.DRY.ROOT.MASS	DRY.ROOT.MASS	ORDER.1	ORDER.2	ORDER.3	ORDER.4	ORDER.5	ORDER.6
3_1_4	1							4.3						
3_1_8	1	43334	0.5	43336	0.5	5.888	7.851	1.963	5	5	5	5	5	4
3_1_2	1	43334	0.5	43336	0.5	11.9	15.726	3.826						
3_1_6	1	43334	0.5	43336	0.5	6.094	8.197	2.103						
3_1_10	1	43334	0.5	43336	0.5	5.978	8.763	2.785						
3_1_R	1	43334												
3_2_10	1	43321	0.541666667	43323		5.796	7.57	1.774	4	4	5	5	5	
3_2_2	1	43321	0.541666667	43323		5.947	9.132	3.185						
3_2_4	1	43321	0.541666667	43323		6.103	9.125	3.022						
3_2_6	1	43321	0.541666667	43323		5.843	10.702	4.859						
3_2_8	1	43321	0.541666667	43323		5.926	8.759	2.833						
3_2_R	1	43321												
3_3_4	1							4.28						
3_3_1	1	43332	0.5	43334	0.5	5.876	11.095	5.219	5	4	5	5	5	
3_3_6	1	43332	0.5	43334	0.5	5.972	9.947	3.975						
3_3_8	1	43332	0.5	43334	0.5	5.883	9.152	3.269						
3_3_10	1	43332	0.5	43334	0.5	5.814	11.287	5.473						
3_3_R	1	43332												
3_4_6	1	43327	0.5	43329	0.5	5.873	9.366	3.493	4	5	5	5	5	
3_4_4	1	43327	0.5	43329	0.5	5.886	9.926	4.04						
3_4_8	1	43327	0.5	43329	0.5	5.899	10.111	4.212						
3_4_9	1	43327												
3_4_2	1	43327	0.5	43329	0.5	5.91	10.562	4.652						
3_4_10	1	43327	0.5	43329	0.5	5.779	11.606	5.827						
3_4_R	1	43327												
3_5_8	1	43312	0.583333333	43314	0.541666667	5.775	9.066	3.291	5	5	5	5	5	
3_5_6	1	43312	0.583333333	43314	0.541666667	5.89	11.388	5.498						
3_5_2	1	43312	0.583333333	43314	0.541666667	5.696	9.937	4.241						
3_5_4	1	43312	0.583333333	43314	0.541666667	6.052	10.374	4.322						
3_5_10	1	43312	0.583333333	43314	0.541666667	5.935	9.946	4.011						
3_5_R	1	43312												
6_1_7	1	43325	0.666666667	43327	0.625	5.862	7.192	1.33	4	5	5	5	5	
6_1_10	1	43325	0.666666667	43327	0.625	5.866	7.746	1.88						
6_1_6	1	43325	0.666666667	43327	0.625	5.832	7.719	1.887						
6_1_2	1	43325	0.666666667	43327	0.625	5.915	7.802	1.887						
6_1_4	1	43325	0.666666667	43327	0.625	6.072	8.127	2.055						
6_1_R	1	43325												
6_2_10	1	43309	0.6875	43311	0.708333333	5.981	7.376	1.395	4	5	5	4	4	
6_2_4	1	43316	0.708333333	43318	0.708333333	5.991	6.801	0.81	4	4	4	5	5	
6_2_8	1	43316	0.708333333	43318	0.708333333	5.98	7.705	1.725						
6_2_6	1	43316	0.708333333	43318	0.708333333	5.982	7.335	1.353						
6_2_2	1	43316	0.708333333	43318	0.708333333	5.915	6.766	0.851						
6_2_R	1	43316												
6_3_10	1	43324	0.645833333	43326	0.645833333	5.866	7.22	1.354	4	4	5	5	5	5
6_3_4	1	43324	0.645833333	43326	0.645833333	5.791	6.889	1.098						
6_3_2	1	43324	0.645833333	43326	0.645833333	5.882	6.943	1.061						
6_3_8	1	43324	0.645833333	43326	0.645833333	5.893	7.489	1.596						
6_3_6	1	43324	0.645833333	43326	0.645833333	5.88	7.233	1.353						
6_3_R	1	43324												
6_4_8	1	43307	0.513888889	43309	0.541666667	6.012	7.045	1.033						
6_4_4	1	43307	0.513888889	43309	0.541666667	5.996	6.994	0.998						
6_4_3	1	43307	0.513888889	43309	0.541666667	5.949	6.988	1.039						
6_4_1	1	43307	0.513888889	43309	0.541666667	5.962	6.91	0.948						
6_4_6	1	43307	0.513888889	43309	0.541666667	5.06	6.83	1.77						
6_4_10	1	43307												
6_4_R	1	43307												
6_5_6	1	43304	0.618055556	43306	0.708333333	5.897	7.313	1.416						
6_5_1	1	43329	0.625	43331	0.708333333	6.126	7.257	1.131	4	5	5	5	5	
6_5_3	1	43329	0.625	43331	0.708333333	12.006	12.994	0.988						
6_5_8	1	43329	0.625	43331	0.708333333	5.847	7.712	1.865						
6_5_10	1	43329	0.625	43331	0.708333333	5.867	6.713	0.846						
6_5_R	1	43329												
7_1_1	1	43333	0.666666667	43335	0.708333333	5.817	7.988	2.171	5	5	5	5	5	
7_1_8	1	43333	0.666666667	43335	0.708333333	6.007	9.266	3.259						
7_1_4	1	43333	0.666666667	43335	0.708333333	6.094	9.407	3.313						
7_1_2	1	43333	0.666666667	43335	0.708333333	5.795	7.938	2.143						
7_1_6	1	43333	0.666666667	43335	0.708333333	5.781	9.293	3.512						
7_1_R	1	43333												
7_2_4	1	43317	0.708333333	43319	0.708333333	5.825	8.164	2.339	4	4	5	5	5	
7_2_8	1	43317	0.708333333	43319	0.708333333	5.99	8.032	2.042						
7_2_6	1	43317	0.708333333	43319	0.708333333	11.904	14.931	3.027						
7_2_2	1	43317	0.708333333	43319	0.708333333	5.94	9.282	3.342						
7_2_10	1	43317	0.708333333	43319	0.708333333	5.883	8.93	3.047						
7_2_R	1	43317												
7_3_10	1	43301		43303	0.694444444			2.908						
7_3_8	1	43321	0.645833333	43323	0.625	5.899	9.957	4.058	4	4	5	5	5	
7_3_4	1	43321	0.645833333	43323	0.625	5.877	8.427	2.55						
7_3_6	1	43321	0.645833333	43323	0.625	5.95	8.026	2.076						
7_3_2	1	43321	0.645833333	43323	0.625	5.897	8.454	2.557						
7_3_R	1	43321												
7_4_8	1	43332	0.625	43334	0.625	6.027	9.162	3.135	4	4	5	5	5	5
7_4_2	1	43317	0.791666667	43319	0.75	5.821	7.89	2.069						
7_4_10	1	43332	0.625	43334	0.625	5.973	8.63	2.657						
7_4_4	1	43332	0.625	43334	0.625	5.96	8.215	2.255						
7_4_6	1	43332	0.625	43334	0.625	5.939	10.122	4.183						
7_4_R	1	43332	0.625											
7_5_3	1	43335	0.708333333	43337	0.583333333	5.791	9.209	3.418	5	5	5	4	5	
7_5_4	1	43335	0.708333333	43337	0.583333333	5.915	8.444	2.529						
