PLOT	TIN	FRESH.ROOTS.TIN	DRY.ROOTS.TIN
1	5.833	11.317	9.002
2	5.762	9.972	8.525
3	5.853	9.717	8.247
4	5.96	11.844	9.343
5	5.767	11.21	8.82
6	5.851	9.964	8.456
7	5.754	10.19	7.891
8	6.159	10.92	8.336
9	5.925	10.91	8.323
10	5.93	12.435	8.133
11	6.005	9.641	7.981
12	5.833	11.671	8.145
13	5.994	11.822	8.613
14	5.914	11.823	8.915
15	5.762	11.74	8.524
16	5.94	10.163	8.744
17	5.853	9.846	8.36
18	5.799	9.51	8.268
19	5.811	10.667	8.649
20	5.78	12.284	8.621
21	5.962	12.028	8.863
22	5.855	11.708	8.543
23	5.985	10.967	8.649
24	6.101	9.81	8.571
25	6.011	9.953	8.214
26	5.936	10.686	8.353
27	5.736	10.96	8.835
28	5.858	8.82	8.364
29	5.942	10.076	8.445
30	5.8	9.472	8.347
31	5.81	10.237	8.364
32	5.777	11.318	8.569
33	5.857	10.313	8.106
34	5.961	11.506	8.814
35	5.987	10.494	8.714
36	6.103	11.617	9.044
37	5.756	8.8	7.56
38	5.852	9.473	7.722
39	5.835	10.222	7.841
40	6.128	10.664	8.26
41	5.828	10.569	8.002
42	5.852	10.014	7.861
43	5.995	10.452	8.547
44	5.834	10.379	8.451
45	5.962	11	8.626
46	5.777	11.892	8.759
47	5.811	11.36	8.439
48	5.856	10.518	8.829
49	5.791	9.732	8.239
50	5.968	9.942	8.592
51	5.882	10.696	8.509
52	5.762	10.001	8.348
53	6.133	10.888	8.354
54	5.663	11.911	8.239
55	5.994	9.612	8.608
56	6.101	9.65	8.49
57	5.754	9.988	8.353
58	5.85	9.239	8.255
59	5.826	9.497	8.47
60	6.128	9.457	8.535
61	5.993	10.81	8.705
62	5.942	11.137	8.672
63	5.855	10.044	8.324
64	5.914	9.475	8.059
65	5.76	9.456	8.161
66	5.796	9.371	8.237
67	5.933	9.604	7.955
68	6.16	11.894	8.977
69	5.927	8.271	7.397
70	5.754	11.08	8.443
71	6.009	9.395	8.006
72	5.833	9.934	8.149
