SAMPLE	EMPTY.CRUCIBLE	ROOT.MASS	ROOT.CRUCIBLE	ROOT.CRUCIBLE.ASHED
1	12964.9	200.8	13153.7	12986.8
2	14210.0	200.2	14398.0	14230.0
3	13177.4	200.6	13365.2	13198.3
4	11790.0	200.2	11979.3	11807.7
5	10624.5	200.7	10815.1	10635.0
6	11371.3	200.3	11559.2	11381.3
7	12217.5	200.4	12403.9	12237.1
8	12034.0	200.5	12220.5	12045.2
9	9631.8	200.4	9819.8	9657.1
10	11460.8	200.4	11647.4	11470.6
11	11574.7	200.6	11761.3	11589.8
12	10225.3	200.5	10412.8	10247.4
13	10057.1	200.4	10246.8	10067.7
14	12324.2	200.4	12513.8	12339.8
15	9494.7	200.0	9683.8	9507.1
16	12036.8	200.0	12225.4	12047.3
17	10620.9	200.0	10809.5	10632.3
18	13333.8	200.1	13522.0	13348.4
19	13455.6	200.6	13648.8	13465.5
20	12531.9	200.1	12725.4	12542.0
21	10887.2	200.5	11080.9	10896.8
22	10289.4	200.2	10482.6	10302.2
23	11697.4	200.2	11890.8	11709.8
24	12235.0	200.1	12427.1	12246.9
25	12378.0	200.2	12571.7	12390.1
26	12551.6	200.3	12745.4	12565.0
27	12122.1	199.9	12315.5	12135.0
28	12866.1	200.6	13060.0	12884.8
29	11203.4	200.2	11396.0	11212.5
30	10822.8	200.2	11018.0	10834.4
31	11566.3	200.1	11759.3	11575.9
32	10356.4	200.0	10549.6	10365.2
33	11831.8	199.9	12024.8	11844.4
34	11566.2	200.1	11759.2	11577.2
35	10399.0	200.3	10591.8	10407.3
36	27730.5	200.3	27924.6	27740.9
37	16194.2	199.8	16386.1	16208.9
38	16906.3	200.0	17098.9	16921.9
39	15459.9	199.8	15652.4	15475.6
40	9282.8	200.4	9476.1	9304.5
41	30459.2	199.7	30651.4	30477.4
42	25812.1	199.6	26004.4	25827.6
43	29818.4	200.6	30012.1	29834.3
44	31658.5	200.7	31853.7	31669.3
45	27298.0	199.9	27490.4	27305.7
46	25869.4	200.0	26063.0	25878.6
47	27678.9	199.7	27871.4	27683.5
48	11576.8	200.3	11763.8	11588.8
49	14210.0	199.9	14397.4	14219.7
50	11789.8	199.8	11977.1	11798.2
51	9495.2	200.6	9682.8	9504.3
52	12866.4	200.3	13054.1	12876.9
53	12965.6	200.2	13153.5	12978.1
54	13177.4	200.1	13364.2	13186.2
55	11460.7	200.4	11648.8	11472.0
56	12037.1	200.0	12224.2	12045.7
57	12033.8	200.1	12221.5	12041.5
58	11831.7	200.1	12020.1	11840.8
59	12122.1	200.0	12310.2	12128.6
60	10620.7	200.2	10808.4	10631.5
61	10289.4	200.1	10476.8	10296.9
62	11371.3	200.0	11558.4	11380.1
63	12324.3	200.2	12511.1	12332.6
64	13334.1	200.4	13521.5	13344.8
65	12217.5	200.4	12404.5	12230.4
66	12552.4	200.5	12739.0	12561.2
67	10823.7	199.7	11009.8	10834.4
68	11698.5	200.6	11883.4	11710.7
69	11566.0	200.5	11751.9	11584.5
70	11203.4	200.2	11387.7	11212.1
71	13454.5	200.2	13638.0	13466.0
72	12234.9	199.7	12418.0	12246.2
