SAMPLE	EMPTY.CRUCIBLE	ROOT.MASS	ROOT.CRUCIBLE	ROOT.CRUCIBLE.ASHED
100-2	12374.6	200.1	12570.2	12384.4
24-1	12550.2	200.3	12742.8	12560.4
3-2	12033.5	200.3	12226.3	12040.4
50-1	13334.2	200.5	13525.4	13340.3
3-1	12036.7	200	12227	12042.2
20-1	11697	200	11888.2	11703.8
31-1	11831.9	200.3	12022.9	11838
9-2	9494.7	200.2	9685	9503.2
6-3	12532.3	200.2	12722.3	12538
22-2	12324.2	199.8	12514.3	12330.1
24-2	10822.9	200.5	11013	10832.4
22-3	13177.6	199.7	13367	13184.4
7-3	10057.3	200.2	10248.1	10063.5
41-3	10290.8	200.1	10479.8	10296
20-3	10622.1	200	10812.1	10628.3
58-1	11372.1	200.4	11561.2	11378.1
50-3	12235.8	199.9	12425.6	12240.9
7-1	10886.9	200.5	11085.4	10893.5
100-3	12219.4	200.2	12409	12224.1
3-3	11790.4	200	11979.9	11795.1
24-3	12965.7	200.2	13153.8	12977.9
9-1	11567	199.7	11755.7	11575.3
100-1	12866.2	200.6	13064.9	12872.5
58-3	13455.8	199.8	13653.2	13461.2
20-2	11575.2	200.3	11772.5	11582.5
41-2	10625.3	200.2	10823.7	10631.2
9-3	12123.4	200.1	12320.9	12130.4
31-3	11205.5	199.9	11402.6	11210.5
50-2	11461.9	199.8	11659.4	11466.4
22-1	10399.9	200.5	10598	10405
6-2	10225.3	200.6	10423.7	10231.3
7-2	9633.4	200.2	9831	9637.8
31-2	10357.2	200.3	10555.1	10362.2
6-1	14211.5	200.3	14409.1	14216.3
41-1	9283.6	199.8	9480.8	9288.5
58-2	11568	199.9	11766.1	11572.3
