OBSERVATION	DATE.TIME	DATE	TIME	AM.PM	TEMP	VWC	NUM.OBS	STAND	JULIAN
11	05/30/19 12:51:17 AM	2019-05-30	12:51:17	AM	14.17	0.2604	24	Stand_3	150
12	05/30/19 01:51:17 AM	2019-05-30	01:51:17	AM	13.954	0.26	24	Stand_3	150
13	05/30/19 02:51:17 AM	2019-05-30	02:51:17	AM	13.762	0.26	24	Stand_3	150
14	05/30/19 03:51:17 AM	2019-05-30	03:51:17	AM	13.57	0.26	24	Stand_3	150
15	05/30/19 04:51:17 AM	2019-05-30	04:51:17	AM	13.401	0.26	24	Stand_3	150
16	05/30/19 05:51:17 AM	2019-05-30	05:51:17	AM	13.233	0.26	24	Stand_3	150
17	05/30/19 06:51:17 AM	2019-05-30	06:51:17	AM	13.064	0.2604	24	Stand_3	150
18	05/30/19 07:51:17 AM	2019-05-30	07:51:17	AM	12.968	0.26	24	Stand_3	150
19	05/30/19 08:51:17 AM	2019-05-30	08:51:17	AM	12.992	0.2596	24	Stand_3	150
20	05/30/19 09:51:17 AM	2019-05-30	09:51:17	AM	13.137	0.2596	24	Stand_3	150
21	05/30/19 10:51:17 AM	2019-05-30	10:51:17	AM	13.401	0.2592	24	Stand_3	150
22	05/30/19 11:51:17 AM	2019-05-30	11:51:17	AM	13.858	0.2585	24	Stand_3	150
23	05/30/19 12:51:17 PM	2019-05-30	12:51:17	PM	14.337	0.2589	24	Stand_3	150
24	05/30/19 01:51:17 PM	2019-05-30	01:51:17	PM	14.816	0.2596	24	Stand_3	150
25	05/30/19 02:51:17 PM	2019-05-30	02:51:17	PM	15.342	0.2596	24	Stand_3	150
26	05/30/19 03:51:17 PM	2019-05-30	03:51:17	PM	15.485	0.26	24	Stand_3	150
27	05/30/19 04:51:17 PM	2019-05-30	04:51:17	PM	15.485	0.2596	24	Stand_3	150
28	05/30/19 05:51:17 PM	2019-05-30	05:51:17	PM	15.533	0.2592	24	Stand_3	150
29	05/30/19 06:51:17 PM	2019-05-30	06:51:17	PM	15.485	0.2589	24	Stand_3	150
30	05/30/19 07:51:17 PM	2019-05-30	07:51:17	PM	15.294	0.2589	24	Stand_3	150
31	05/30/19 08:51:17 PM	2019-05-30	08:51:17	PM	15.055	0.2585	24	Stand_3	150
32	05/30/19 09:51:17 PM	2019-05-30	09:51:17	PM	14.721	0.2585	24	Stand_3	150
33	05/30/19 10:51:17 PM	2019-05-30	10:51:17	PM	14.433	0.2585	24	Stand_3	150
34	05/30/19 11:51:17 PM	2019-05-30	11:51:17	PM	14.17	0.2585	24	Stand_3	150
35	05/31/19 12:51:17 AM	2019-05-31	12:51:17	AM	13.906	0.2582	24	Stand_3	151
36	05/31/19 01:51:17 AM	2019-05-31	01:51:17	AM	13.618	0.2589	24	Stand_3	151
37	05/31/19 02:51:17 AM	2019-05-31	02:51:17	AM	13.377	0.2589	24	Stand_3	151
38	05/31/19 03:51:17 AM	2019-05-31	03:51:17	AM	13.137	0.2592	24	Stand_3	151
39	05/31/19 04:51:17 AM	2019-05-31	04:51:17	AM	12.92	0.2592	24	Stand_3	151
40	05/31/19 05:51:17 AM	2019-05-31	05:51:17	AM	12.751	0.2596	24	Stand_3	151
41	05/31/19 06:51:17 AM	2019-05-31	06:51:17	AM	12.558	0.2596	24	Stand_3	151
42	05/31/19 07:51:17 AM	2019-05-31	07:51:17	AM	12.437	0.2596	24	Stand_3	151
43	05/31/19 08:51:17 AM	2019-05-31	08:51:17	AM	12.485	0.2592	24	Stand_3	151
44	05/31/19 09:51:17 AM	2019-05-31	09:51:17	AM	12.678	0.2592	24	Stand_3	151
45	05/31/19 10:51:17 AM	2019-05-31	10:51:17	AM	13.112	0.2589	24	Stand_3	151
46	05/31/19 11:51:17 AM	2019-05-31	11:51:17	AM	13.834	0.2585	24	Stand_3	151
47	05/31/19 12:51:17 PM	2019-05-31	12:51:17	PM	14.337	0.2582	24	Stand_3	151
48	05/31/19 01:51:17 PM	2019-05-31	01:51:17	PM	14.864	0.2575	24	Stand_3	151
49	05/31/19 02:51:17 PM	2019-05-31	02:51:17	PM	15.294	0.2567	24	Stand_3	151
50	05/31/19 03:51:17 PM	2019-05-31	03:51:17	PM	15.652	0.2571	24	Stand_3	151
51	05/31/19 04:51:17 PM	2019-05-31	04:51:17	PM	15.986	0.2564	24	Stand_3	151
52	05/31/19 05:51:17 PM	2019-05-31	05:51:17	PM	16.296	0.2567	24	Stand_3	151
53	05/31/19 06:51:17 PM	2019-05-31	06:51:17	PM	16.392	0.2564	24	Stand_3	151
54	05/31/19 07:51:17 PM	2019-05-31	07:51:17	PM	16.296	0.256	24	Stand_3	151
55	05/31/19 08:51:17 PM	2019-05-31	08:51:17	PM	16.034	0.256	24	Stand_3	151
56	05/31/19 09:51:17 PM	2019-05-31	09:51:17	PM	15.819	0.277	24	Stand_3	151
57	05/31/19 10:51:17 PM	2019-05-31	10:51:17	PM	15.557	0.2736	24	Stand_3	151
58	05/31/19 11:51:17 PM	2019-05-31	11:51:17	PM	15.366	0.2708	24	Stand_3	151
59	06/01/19 12:51:17 AM	2019-06-01	12:51:17	AM	15.199	0.2694	24	Stand_3	152
60	06/01/19 01:51:17 AM	2019-06-01	01:51:17	AM	14.888	0.2684	24	Stand_3	152
61	06/01/19 02:51:17 AM	2019-06-01	02:51:17	AM	14.601	0.2673	24	Stand_3	152
62	06/01/19 03:51:17 AM	2019-06-01	03:51:17	AM	14.385	0.2664	24	Stand_3	152
63	06/01/19 04:51:17 AM	2019-06-01	04:51:17	AM	14.17	0.2657	24	Stand_3	152
64	06/01/19 05:51:17 AM	2019-06-01	05:51:17	AM	13.786	0.2712	24	Stand_3	152
65	06/01/19 06:51:17 AM	2019-06-01	06:51:17	AM	13.522	0.2708	24	Stand_3	152
66	06/01/19 07:51:17 AM	2019-06-01	07:51:17	AM	13.353	0.2701	24	Stand_3	152
67	06/01/19 08:51:17 AM	2019-06-01	08:51:17	AM	13.257	0.2715	24	Stand_3	152
68	06/01/19 09:51:17 AM	2019-06-01	09:51:17	AM	13.233	0.2712	24	Stand_3	152
69	06/01/19 10:51:17 AM	2019-06-01	10:51:17	AM	13.329	0.2705	24	Stand_3	152
70	06/01/19 11:51:17 AM	2019-06-01	11:51:17	AM	13.522	0.2719	24	Stand_3	152
71	06/01/19 12:51:17 PM	2019-06-01	12:51:17	PM	13.305	0.2817	24	Stand_3	152
72	06/01/19 01:51:17 PM	2019-06-01	01:51:17	PM	12.992	0.2844	24	Stand_3	152
73	06/01/19 02:51:17 PM	2019-06-01	02:51:17	PM	13.137	0.2817	24	Stand_3	152
74	06/01/19 03:51:17 PM	2019-06-01	03:51:17	PM	13.377	0.28	24	Stand_3	152
75	06/01/19 04:51:17 PM	2019-06-01	04:51:17	PM	13.497	0.278	24	Stand_3	152
76	06/01/19 05:51:17 PM	2019-06-01	05:51:17	PM	13.473	0.277	24	Stand_3	152
77	06/01/19 06:51:17 PM	2019-06-01	06:51:17	PM	13.449	0.2756	24	Stand_3	152
78	06/01/19 07:51:17 PM	2019-06-01	07:51:17	PM	13.329	0.2746	24	Stand_3	152
79	06/01/19 08:51:17 PM	2019-06-01	08:51:17	PM	13.185	0.2736	24	Stand_3	152
80	06/01/19 09:51:17 PM	2019-06-01	09:51:17	PM	12.968	0.2732	24	Stand_3	152
81	06/01/19 10:51:17 PM	2019-06-01	10:51:17	PM	12.727	0.2726	24	Stand_3	152
82	06/01/19 11:51:17 PM	2019-06-01	11:51:17	PM	12.461	0.2722	24	Stand_3	152
83	06/02/19 12:51:17 AM	2019-06-02	12:51:17	AM	12.219	0.2719	24	Stand_3	153
84	06/02/19 01:51:17 AM	2019-06-02	01:51:17	AM	12.001	0.2715	24	Stand_3	153
85	06/02/19 02:51:17 AM	2019-06-02	02:51:17	AM	11.783	0.2715	24	Stand_3	153
86	06/02/19 03:51:17 AM	2019-06-02	03:51:17	AM	11.589	0.2712	24	Stand_3	153
87	06/02/19 04:51:17 AM	2019-06-02	04:51:17	AM	11.346	0.2712	24	Stand_3	153
88	06/02/19 05:51:17 AM	2019-06-02	05:51:17	AM	11.175	0.2708	24	Stand_3	153
89	06/02/19 06:51:17 AM	2019-06-02	06:51:17	AM	11.029	0.2705	24	Stand_3	153
90	06/02/19 07:51:17 AM	2019-06-02	07:51:17	AM	10.932	0.2701	24	Stand_3	153
91	06/02/19 08:51:17 AM	2019-06-02	08:51:17	AM	10.98	0.2701	24	Stand_3	153
92	06/02/19 09:51:17 AM	2019-06-02	09:51:17	AM	11.175	0.2694	24	Stand_3	153
93	06/02/19 10:51:17 AM	2019-06-02	10:51:17	AM	11.492	0.2691	24	Stand_3	153
94	06/02/19 11:51:17 AM	2019-06-02	11:51:17	AM	12.122	0.2684	24	Stand_3	153
95	06/02/19 12:51:17 PM	2019-06-02	12:51:17	PM	12.389	0.2684	24	Stand_3	153
96	06/02/19 01:51:17 PM	2019-06-02	01:51:17	PM	12.871	0.2673	24	Stand_3	153
97	06/02/19 02:51:17 PM	2019-06-02	02:51:17	PM	13.738	0.267	24	Stand_3	153
98	06/02/19 03:51:17 PM	2019-06-02	03:51:17	PM	13.738	0.266	24	Stand_3	153
99	06/02/19 04:51:17 PM	2019-06-02	04:51:17	PM	13.57	0.2653	24	Stand_3	153
100	06/02/19 05:51:17 PM	2019-06-02	05:51:17	PM	13.546	0.2646	24	Stand_3	153
101	06/02/19 06:51:17 PM	2019-06-02	06:51:17	PM	13.425	0.2642	24	Stand_3	153
102	06/02/19 07:51:17 PM	2019-06-02	07:51:17	PM	13.281	0.2639	24	Stand_3	153
103	06/02/19 08:51:17 PM	2019-06-02	08:51:17	PM	13.04	0.2635	24	Stand_3	153
104	06/02/19 09:51:17 PM	2019-06-02	09:51:17	PM	12.751	0.2632	24	Stand_3	153
105	06/02/19 10:51:17 PM	2019-06-02	10:51:17	PM	12.413	0.2632	24	Stand_3	153
106	06/02/19 11:51:17 PM	2019-06-02	11:51:17	PM	12.074	0.2635	24	Stand_3	153
107	06/03/19 12:51:17 AM	2019-06-03	12:51:17	AM	11.759	0.2639	24	Stand_3	154
108	06/03/19 01:51:17 AM	2019-06-03	01:51:17	AM	11.467	0.2642	24	Stand_3	154
109	06/03/19 02:51:17 AM	2019-06-03	02:51:17	AM	11.175	0.2642	24	Stand_3	154
110	06/03/19 03:51:17 AM	2019-06-03	03:51:17	AM	10.883	0.2646	24	Stand_3	154
111	06/03/19 04:51:17 AM	2019-06-03	04:51:17	AM	10.565	0.2642	24	Stand_3	154
112	06/03/19 05:51:17 AM	2019-06-03	05:51:17	AM	10.247	0.2639	24	Stand_3	154
113	06/03/19 06:51:17 AM	2019-06-03	06:51:17	AM	9.952	0.2642	24	Stand_3	154
114	06/03/19 07:51:17 AM	2019-06-03	07:51:17	AM	9.756	0.2642	24	Stand_3	154
115	06/03/19 08:51:17 AM	2019-06-03	08:51:17	AM	9.706	0.2639	24	Stand_3	154
116	06/03/19 09:51:17 AM	2019-06-03	09:51:17	AM	9.928	0.2639	24	Stand_3	154
117	06/03/19 10:51:17 AM	2019-06-03	10:51:17	AM	10.222	0.2639	24	Stand_3	154
118	06/03/19 11:51:17 AM	2019-06-03	11:51:17	AM	10.932	0.2635	24	Stand_3	154
119	06/03/19 12:51:17 PM	2019-06-03	12:51:17	PM	11.297	0.2632	24	Stand_3	154
120	06/03/19 01:51:17 PM	2019-06-03	01:51:17	PM	11.904	0.2628	24	Stand_3	154
121	06/03/19 02:51:17 PM	2019-06-03	02:51:17	PM	12.944	0.2624	24	Stand_3	154
122	06/03/19 03:51:17 PM	2019-06-03	03:51:17	PM	12.992	0.2615	24	Stand_3	154
123	06/03/19 04:51:17 PM	2019-06-03	04:51:17	PM	12.799	0.2615	24	Stand_3	154
124	06/03/19 05:51:17 PM	2019-06-03	05:51:17	PM	12.582	0.2611	24	Stand_3	154
125	06/03/19 06:51:17 PM	2019-06-03	06:51:17	PM	12.461	0.2604	24	Stand_3	154
126	06/03/19 07:51:17 PM	2019-06-03	07:51:17	PM	12.389	0.26	24	Stand_3	154
127	06/03/19 08:51:17 PM	2019-06-03	08:51:17	PM	12.268	0.2604	24	Stand_3	154
128	06/03/19 09:51:17 PM	2019-06-03	09:51:17	PM	12.098	0.26	24	Stand_3	154
129	06/03/19 10:51:17 PM	2019-06-03	10:51:17	PM	11.929	0.26	24	Stand_3	154
130	06/03/19 11:51:17 PM	2019-06-03	11:51:17	PM	11.759	0.26	24	Stand_3	154
131	06/04/19 12:51:17 AM	2019-06-04	12:51:17	AM	11.589	0.2607	24	Stand_3	155
132	06/04/19 01:51:17 AM	2019-06-04	01:51:17	AM	11.394	0.26	24	Stand_3	155
133	06/04/19 02:51:17 AM	2019-06-04	02:51:17	AM	11.248	0.2604	24	Stand_3	155
134	06/04/19 03:51:17 AM	2019-06-04	03:51:17	AM	11.102	0.26	24	Stand_3	155
135	06/04/19 04:51:17 AM	2019-06-04	04:51:17	AM	11.005	0.2604	24	Stand_3	155
136	06/04/19 05:51:17 AM	2019-06-04	05:51:17	AM	10.956	0.2611	24	Stand_3	155
137	06/04/19 06:51:17 AM	2019-06-04	06:51:17	AM	10.858	0.2611	24	Stand_3	155
138	06/04/19 07:51:17 AM	2019-06-04	07:51:17	AM	10.81	0.26	24	Stand_3	155
139	06/04/19 08:51:17 AM	2019-06-04	08:51:17	AM	10.858	0.2607	24	Stand_3	155
140	06/04/19 09:51:17 AM	2019-06-04	09:51:17	AM	11.127	0.2607	24	Stand_3	155
141	06/04/19 10:51:17 AM	2019-06-04	10:51:17	AM	11.589	0.2604	24	Stand_3	155
142	06/04/19 11:51:17 AM	2019-06-04	11:51:17	AM	12.219	0.26	24	Stand_3	155
143	06/04/19 12:51:17 PM	2019-06-04	12:51:17	PM	12.678	0.2592	24	Stand_3	155
