PLOT	STAND	VWC.PLOT.MEAN	TEMP.PLOT.MEAN	VWC.LOGGER	TEMP.LOGGER	DATE.TIME.PLOT	DATE.TIME.LOGGER	JULIAN
Plot_67	Stand_100	6.166666666666666	17.683333333333334	0.1728	19.127	2019-08-04T15:48:00Z	2019-08-04T15:30:03Z	216
Plot_68	Stand_100	9.866666666666667	17.816666666666666	0.1728	19.127	2019-08-04T15:54:00Z	2019-08-04T15:30:03Z	216
Plot_69	Stand_100	8.4	17.4	0.1728	19.127	2019-08-04T16:00:00Z	2019-08-04T15:30:03Z	216
Plot_70	Stand_100	10.583333333333334	17.25	0.1724	19.199	2019-08-04T16:05:00Z	2019-08-04T16:30:03Z	216
Plot_71	Stand_100	9.45	17.6	0.1724	19.199	2019-08-04T16:08:00Z	2019-08-04T16:30:03Z	216
Plot_72	Stand_100	10.083333333333334	17.9	0.1724	19.199	2019-08-04T16:11:00Z	2019-08-04T16:30:03Z	216
Plot_25	Stand_20	6.666666666666666	17.5	0.0725	18.509	2019-08-03T12:07:00Z	2019-08-03T12:23:34Z	215
Plot_26	Stand_20	7.083333333333333	17.866666666666667	0.0725	18.509	2019-08-03T12:10:00Z	2019-08-03T12:23:34Z	215
Plot_27	Stand_20	5.35	18.35	0.0725	18.509	2019-08-03T12:14:00Z	2019-08-03T12:23:34Z	215
Plot_28	Stand_20	6.35	17.966666666666665	0.0725	18.509	2019-08-03T12:20:00Z	2019-08-03T12:23:34Z	215
Plot_29	Stand_20	5.766666666666667	18.15	0.0725	18.509	2019-08-03T12:25:00Z	2019-08-03T12:23:34Z	215
Plot_30	Stand_20	6.016666666666667	18.266666666666666	0.0725	18.509	2019-08-03T12:30:00Z	2019-08-03T12:23:34Z	215
Plot_31	Stand_22	8.4	16.166666666666668	0.1585	16.082	2019-08-05T09:00:00Z	2019-08-05T08:41:56Z	217
Plot_32	Stand_22	11	15.833333333333334	0.1585	16.082	2019-08-05T09:04:00Z	2019-08-05T08:41:56Z	217
Plot_33	Stand_22	9.1	16.016666666666666	0.1585	16.082	2019-08-05T09:07:00Z	2019-08-05T08:41:56Z	217
Plot_34	Stand_22	6.583333333333333	15.716666666666667	0.1585	16.082	2019-08-05T09:11:00Z	2019-08-05T08:41:56Z	217
Plot_35	Stand_22	8.116666666666667	15.716666666666667	0.1577	16.487	2019-08-05T09:15:00Z	2019-08-05T09:41:56Z	217
Plot_36	Stand_22	10.266666666666666	16.1	0.1585	16.082	2019-08-05T08:55:00Z	2019-08-05T08:41:56Z	217
Plot_37	Stand_24	9.85	16.733333333333334	0.2756	17.249	2019-08-04T09:13:00Z	2019-08-04T08:57:18Z	216
Plot_38	Stand_24	14.7	16.9	0.2756	17.249	2019-08-04T09:17:00Z	2019-08-04T08:57:18Z	216
Plot_39	Stand_24	16.883333333333333	17.133333333333333	0.2756	17.249	2019-08-04T09:20:00Z	2019-08-04T08:57:18Z	216
Plot_40	Stand_24	20.25	17.316666666666666	0.2756	17.249	2019-08-04T09:24:00Z	2019-08-04T08:57:18Z	216
Plot_41	Stand_24	11.333333333333334	17.1	0.2759	17.653	2019-08-04T09:28:00Z	2019-08-04T09:57:18Z	216
Plot_42	Stand_24	13.05	17.016666666666666	0.2759	17.653	2019-08-04T09:32:00Z	2019-08-04T09:57:18Z	216
Plot_1	Stand_3	6.433333333333333	17.133333333333333	0.157	17.463	2019-08-03T10:28:00Z	2019-08-03T10:51:17Z	215
Plot_2	Stand_3	7.1499999999999995	17.3	0.157	17.463	2019-08-03T10:33:00Z	2019-08-03T10:51:17Z	215
Plot_3	Stand_3	7.666666666666666	17.066666666666666	0.157	17.463	2019-08-03T10:38:00Z	2019-08-03T10:51:17Z	215
Plot_4	Stand_3	7.333333333333333	16.916666666666668	0.157	17.463	2019-08-03T10:43:00Z	2019-08-03T10:51:17Z	215
Plot_5	Stand_3	7.583333333333333	16.933333333333334	0.157	17.463	2019-08-03T10:48:00Z	2019-08-03T10:51:17Z	215
Plot_6	Stand_3	6.683333333333333	17.3	0.157	17.463	2019-08-03T10:53:00Z	2019-08-03T10:51:17Z	215
Plot_43	Stand_31	8.716666666666667	17.6	0.2303	18.652	2019-08-03T13:47:00Z	2019-08-03T13:52:24Z	215
Plot_44	Stand_31	7.1	17.816666666666666	0.2303	18.652	2019-08-03T13:51:00Z	2019-08-03T13:52:24Z	215
Plot_45	Stand_31	6.583333333333333	17.683333333333334	0.2303	18.652	2019-08-03T13:56:00Z	2019-08-03T13:52:24Z	215
Plot_46	Stand_31	9.7	17.683333333333334	0.2303	18.652	2019-08-03T14:01:00Z	2019-08-03T13:52:24Z	215
Plot_47	Stand_31	6.233333333333333	17.983333333333334	0.2303	18.652	2019-08-03T14:06:00Z	2019-08-03T13:52:24Z	215
Plot_48	Stand_31	5.266666666666667	18.21666666666667	0.2303	18.652	2019-08-03T14:11:00Z	2019-08-03T13:52:24Z	215
Plot_49	Stand_41	7.416666666666666	17.450000000000003	0.1797	19.175	2019-08-04T15:00:00Z	2019-08-04T14:35:26Z	216
Plot_50	Stand_41	5.066666666666666	17.833333333333332	0.1797	19.175	2019-08-04T15:05:00Z	2019-08-04T14:35:26Z	216
Plot_51	Stand_41	4.85	17.733333333333334	0.1769	19.436	2019-08-04T15:08:00Z	2019-08-04T15:35:26Z	216
Plot_52	Stand_41	6.583333333333333	17.3	0.1769	19.436	2019-08-04T15:12:00Z	2019-08-04T15:35:26Z	216
Plot_53	Stand_41	9.2	17.583333333333332	0.1769	19.436	2019-08-04T15:15:00Z	2019-08-04T15:35:26Z	216
Plot_54	Stand_41	8.383333333333333	18.316666666666666	0.1769	19.436	2019-08-04T15:19:00Z	2019-08-04T15:35:26Z	216
Plot_55	Stand_50	5.266666666666667	16.516666666666666	0.1434	16.773	2019-08-03T09:05:00Z	2019-08-03T09:15:23Z	215
Plot_56	Stand_50	7.8	16.75	0.1434	16.773	2019-08-03T09:10:00Z	2019-08-03T09:15:23Z	215
Plot_57	Stand_50	7.083333333333333	16.883333333333333	0.1434	16.773	2019-08-03T09:15:00Z	2019-08-03T09:15:23Z	215
Plot_58	Stand_50	7.066666666666666	16.85	0.1434	16.773	2019-08-03T09:20:00Z	2019-08-03T09:15:23Z	215
Plot_59	Stand_50	6.983333333333333	16.666666666666668	0.1434	16.773	2019-08-03T09:25:00Z	2019-08-03T09:15:23Z	215
Plot_60	Stand_50	5.35	17.05	0.1434	16.773	2019-08-03T09:30:00Z	2019-08-03T09:15:23Z	215
Plot_61	Stand_58	8.383333333333333	18.883333333333333	0.0745	21.032	2019-08-04T17:41:00Z	2019-08-04T17:25:10Z	216
