KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	NUTRITIONAL.MODE	DECAY	NOTES	REFERENCES	GENUS.PERC	TROPHIC.MODE_funguild	GUILD_funguild	CONF_funguild	FORM_funguild	TRAIT_funguild	NOTES_funguild	CITATION_funguild
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	Saprotrophic	White-rot or ligninolytic litter decay		Entwistle et al. 2018	21.02508155	Pathotroph-Saprotroph	Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph	Probable	Agaricoid	NULL	NULL	"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx}"
Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Saprotrophic	Non-ligninolytic	Common soil saprotroph; non-ligninolytic based on phylogeny	Sterkenberg et al. 2018	5.792793838	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	Microfungus	NULL	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407}"
Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Ectomycorrhizal	Putatively ligninolytic	Has PODs	Kohler et al. 2015	4.600515114	Symbiotroph	Ectomycorrhizal	Highly Probable	Corticioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Ectomycorrhizal	Putatively ligninolytic	Has PODs	Bšdeker et al. 2009; Miyauchi et al. 2020	3.944824044	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Saprotrophic	White-rot or ligninolytic litter decay		Entwistle et al. 2018; Nagy	3.369931277	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	Saprotrophic	White-rot or ligninolytic litter decay		Entwistle et al. 2018	2.835961171	Saprotroph	Wood Saprotroph	Highly Probable	Corticioid	White Rot	NULL	"Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 Uncertain.; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (not ECM).}"
Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Ectomycorrhizal				2.702979808	Symbiotroph	Ectomycorrhizal	Highly Probable	Corticioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Saprotrophic	Non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	2.41856583	Saprotroph	Undefined Saprotroph-Wood Saprotroph	Probable	NULL	Soft Rot	NULL	"Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Ectomycorrhizal	Putatively ligninolytic	Has one POD	Miyauchi et al. 2020; Kohler et al. 2015	2.368219993	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	Common name - milk-cap	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Saprotrophic	Non-ligninolytic		Nagy et al. 2016	1.72572532	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Epiphyt-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	NULL	Cause of soft-rot (Seehann et al. 1975)	"Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Andrews JH, et al. 1983. Phytopathology 73:228-234; Hanada RE, et al. 2010. Fungal Biology 114:901-910; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx}"
Fungi	Basidiomycota	Agaricomycetes	Gomphales	Gomphaceae	Ramaria	Saprotrophic	White-rot or ligninolytic litter decay		Entwistle et al. 2018	1.514622468	Symbiotroph	Ectomycorrhizal	Possible	Clavarioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/(not ECM);Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html (ECM)}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Ectomycorrhizal	Putatively ligninolytic	Has one POD	Miyauchi et al. 2020; Kohler et al. 2015	1.161836136	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Cenococcum	Ectomycorrhizal	Putatively non-ligninolytic 	One POD (Miyauchi et al. 2020) but non-ligninolytic based on phylogeny of PODs	Miyauchi et al. 2020; Kohler et al. 2015; Floudas et al. 2012 Nagy	1.133833302	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
