KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	NUTRITIONAL.MODE	DECAY	NOTES	REFERENCES	GENUS.PERC	TROPHIC.MODE_funguild	GUILD_funguild	CONF_funguild	FORM_funguild	TRAIT_funguild	NOTES_funguild	CITATION_funguild
Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Saprotrophic	Non-ligninolytic	Common soil saprotroph; non-ligninolytic based on phylogeny	Sterkenberg et al. 2018	9.59542206	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	Microfungus	NULL	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407}"
Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Ectomycorrhizal	Putatively ligninolytic	Has PODs	Bšdeker et al. 2009; Miyauchi et al. 2020	8.8190989	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Saprotrophic	Non-ligninolytic	Common soil saprotroph; non-ligninolytic based on phylogeny		6.83605403	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)}"
Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Ectomycorrhizal	Putatively ligninolytic	Has PODs	Kohler et al. 2015	6.23004271	Symbiotroph	Ectomycorrhizal	Highly Probable	Corticioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Ectomycorrhizal	Putatively ligninolytic	Has PODs	Bšdeker et al. 2009; Miyauchi et al. 2020	5.06554247	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Putatively mycorrhizal		Check on this		3.50816354	Saprotroph-Symbiotroph	Undefined Saprotroph-Undefined Biotroph	Probable	Agaricoid	NULL	"Previously classified as Hygrophorus; carbon signature suggests biotrophy with bryophytes, grasses, or understory plants"	"Tedersoo L, et al. 2014. Science 346:1256688;Lodge et al. 2014. Fungal Diversity 64:1-99; Lodge 2014. Omphalina 5:2-6; Seitzman et al. 2011. Mycologia 103:280-290.}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Ectomycorrhizal				2.42454127	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	Sensu stricto (Matheny 2009).	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Matheny PB. 2009. McIlvainea 18:11-21; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Saprotrophic	Putatively non-ligninolytic	Common soil yeast; based on phylogeny of PODs	Floudas; Nagy	2.10751862	NA	NA	NA	NA	NA	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Ectomycorrhizal	Putatively ligninolytic	1-3 PODs on mycocosm		2.05195699	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga}
Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Ectomycorrhizal	Putatively ligninolytic	Has one POD	Bšdeker et al. 2009; Miyauchi et al. 2020	1.67607643	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	Common name - milk-cap	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
